locus	inv_id	band	is_featured	tags	size_bp	tag_snp	eqtl_n_sig	eqtl_n_up	eqtl_n_down	eqtl_top_gene	eqtl_top_beta	eqtl_top_dir	eqtl_top_q	gtex_n_sqtl_genes	gtex_sqtl_top_gene	geuv_splice_n_sig	geuv_splice_top_gene	measured_sqtl_any	gtex_eqtl_n_genes	gtex_eqtl_top_gene	gtex_eqtl_top_nes	gtex_eqtl_top_tissue	ag_top_splice_gene	ag_max_splice	ag_top_is_measured_sgene	measured_molecular_any
chr17:45585159-46292045	17:45585159-46292045	17q21.31	True	phewas;selection;conservation	706886	rs1724390	16	12	4	ENSG00000262539	0.56569	up	3.23e-94	18	KANSL1	22	KANSL1	1	41	KANSL1-AS1	1.389	Minor_Salivary_Gland	MAPT	0.973	True	1
chr8:7301024-12598379	8:7301024-12598379	8p23.1	True	selection;conservation	5297355	rs898137	4	3	1	ENSG00000255495.1	0.03992	up	4.99e-05	6	ENSG00000253887	6	ENSG00000205873	1	11	RPL10P19	0.404	Brain_Anterior_cingulate_cortex_BA24	PRR23D1	0.613		1
chr16:28471892-28637651	16:28471892-28637651	16p11.2	True	conservation	165759	rs12447461	3	3	0	APOBR	0.10951	up	0.000183	16	ATXN2L	2	ATXN2L	1	34	CDC37P1	0.822	Artery_Aorta	SGF29	0.996	True	1
chr15:30618103-32153204	15:30618103-32153204	15q13.3	True	conservation	1535101	rs56396205	2	2	0	ULK4P3	0.10179	up	0.00256	3	LINC03034	2	LINC03034	1	12	GOLGA8R	-1.328	Ovary	ENSG00000284906	0.91		1
chr16:14954790-15100859	16:14954790-15100859	16p13.11	True	conservation	146069	rs9927842	2	0	2	BFAR	-0.06451	down	0.0306	8	PKD1P6	16	NOMO1	1	18	ENSG00000260735	-1.093	Adipose_Subcutaneous	NTAN1	0.977	True	1
chr7:65219157-65531823	7:65219157-65531823	7q11.21	True	conservation	312666	rs17782771	2	2	0	ERV3-1	0.19035	up	4.91e-09	15	CCT6P3	6	ZNF117	1	31	GTF2IP14	1.219	Bladder	ZNF92	0.934		1
chr10:79542901-80217413	10:79542901-80217413	10q22.2	True	phewas;selection;conservation	674512	rs4268452	0	0	0					10	NUTM2B-AS1	0		1	20	MBL1P	1.135	Artery_Tibial	ANXA11	0.996	True	1
chr12:46896694-46915975	12:46896694-46915975	12q13.11	True	phewas;selection	19281	rs34881657	0	0	0					0		0	RPAP3	0	1	SLC38A4	-0.446	Artery_Tibial				1
chr6:167209001-167357782	6:167209001-167357782	6q27	True	phewas	148781	rs73267380	0	0	0					0		1	ENSG00000249141	1	0				UNC93A	0.652		1
chr7:54234014-54308393	7:54234014-54308393	7p11.2	True	selection	74379	rs4338053	0	0	0					1	LINC01445	0	EGFR	1	2	ENSG00000287953	-0.725	Brain_Cortex				1
