locus	band	gene_id	gene_sym	chrom	coord_hg19	n	beta_log2fc_per_alt	se	t	p	perm_p	bh_q	direction	mean_log2rpkm
chr17:45585159-46292045		ENSG00000262539.1	ENSG00000262539.1	17	44337972	462	0.56569	0.02069	27.3428	2.6061962561265097e-97	0.000999000999000999	3.226470965084619e-94	up	1.7079
chr17:45585159-46292045		ENSG00000214401.4	ENSG00000214401.4	17	44270942	462	0.76891	0.03297	23.3198	3.579517948428626e-79	0.000999000999000999	2.2157216100773194e-76	up	0.9841
chr17:45585159-46292045		ENSG00000262500.1	ENSG00000262500.1	17	44320972	462	0.262	0.01155	22.681	2.980871854204527e-76	0.000999000999000999	1.2301064518350681e-73	up	0.1889
chr17:45585159-46292045		ENSG00000176681.9	ENSG00000176681.9	17	44370099	462	0.35939	0.02874	12.5035	5.935968581009612e-31	0.000999000999000999	1.8371822758224751e-28	up	2.8739
chr21:13987773-14056796		ENSG00000228314.1	ENSG00000228314.1	21	15220685	462	0.49074	0.0464	10.5755	1.8078216886326368e-23	0.000999000999000999	4.4761665010544086e-21	up	0.4871
chr17:45585159-46292045		ENSG00000214425.1	ENSG00000214425.1	17	43595264	462	-0.16589	0.01606	-10.3264	1.4901283218892014e-22	0.000999000999000999	3.0746314374980525e-20	down	0.5593
chr17:45585159-46292045		ENSG00000238083.3	ENSG00000238083.3	17	44588877	462	0.28674	0.02783	10.3033	1.8088300197207146e-22	0.000999000999000999	3.1990450920203494e-20	up	3.0552
chr17:45585159-46292045		ENSG00000260075.1	ENSG00000260075.1	17	44450221	462	0.16764	0.01758	9.5356	9.817709368148713e-20	0.000999000999000999	1.5192905247210134e-17	up	2.937
chr7:65219157-65531823		ENSG00000213462.4	ENSG00000213462.4	7	64467121	462	0.19035	0.02803	6.7913	3.5697208690771945e-11	0.000999000999000999	4.910349373241741e-09	up	1.7513
chr1:25324280-25369060		ENSG00000187010.13	ENSG00000187010.13	1	25598884	462	0.04247	0.00651	6.5198	1.913828760069888e-10	0.000999000999000999	2.369320004966521e-08	up	0.1878
