Phenotype	N_Total	N_Cases	N_Controls	Beta	OR	P_Value_x	P_Valid	P_Source_x	OR_CI95	CI_Method	CI_Sided	CI_Label	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	Coef_Source	P_Value_Method	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Value_y	P_Overall_Valid	P_Source_y	P_Method	P_Value	P_Source	Q_GLOBAL	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	CI_Label_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY	P_LRT_AncestryxDosage	P_Stage2_Valid	Stage2_P_Method	Stage2_P_Source	Stage2_Inference_Type	LRT_df	LRT_Reason	Stage2_Model_Notes_2	Boot_Engine	Boot_Draws	Boot_Exceed	Boot_Fit_Kind	LRT_Ancestry_Levels	Stage2_Model_Notes	EUR_N	EUR_N_Cases	EUR_N_Controls	EUR_OR	EUR_P	EUR_P_Valid	EUR_P_Source	EUR_Inference_Type	EUR_CI_Method	EUR_CI_Sided	EUR_CI_Label	EUR_CI_Valid	EUR_CI_LO_OR	EUR_CI_HI_OR	EUR_CI95	AFR_N	AFR_N_Cases	AFR_N_Controls	AFR_OR	AFR_P	AFR_P_Valid	AFR_P_Source	AFR_Inference_Type	AFR_CI_Method	AFR_CI_Sided	AFR_CI_Label	AFR_CI_Valid	AFR_CI_LO_OR	AFR_CI_HI_OR	AFR_CI95	AMR_N	AMR_N_Cases	AMR_N_Controls	AMR_OR	AMR_P	AMR_P_Valid	AMR_P_Source	AMR_Inference_Type	AMR_CI_Method	AMR_CI_Sided	AMR_CI_Label	AMR_CI_Valid	AMR_CI_LO_OR	AMR_CI_HI_OR	AMR_CI95	EAS_N	EAS_N_Cases	EAS_N_Controls	EAS_OR	EAS_P	EAS_P_Valid	EAS_P_Source	EAS_Inference_Type	EAS_CI_Method	EAS_CI_Sided	EAS_CI_Label	EAS_CI_Valid	EAS_CI_LO_OR	EAS_CI_HI_OR	EAS_CI95	EAS_REASON	MID_N	MID_N_Cases	MID_N_Controls	MID_OR	MID_P	MID_P_Valid	MID_P_Source	MID_Inference_Type	MID_CI_Method	MID_CI_Sided	MID_CI_Label	MID_CI_Valid	MID_CI_LO_OR	MID_CI_HI_OR	MID_CI95	MID_REASON	SAS_N	SAS_N_Cases	SAS_N_Controls	SAS_OR	SAS_P	SAS_P_Valid	SAS_P_Source	SAS_Inference_Type	SAS_CI_Method	SAS_CI_Sided	SAS_CI_Label	SAS_CI_Valid	SAS_CI_LO_OR	SAS_CI_HI_OR	SAS_CI95	SAS_REASON	EUR_P_FDR	AFR_P_FDR	AMR_P_FDR	EAS_P_FDR	SAS_P_FDR	MID_P_FDR	FINAL_INTERPRETATION
Microcytic_anemia	296698	31702	264996	0.009867789863197	1.009916637040607	0.563501509330062	True	lrt_mle	0.977,1.044	lrt_quadratic	two		True	0.9766629505050604	1.0443025541656654	False	True	False	mle	mle	lrt_mle	296698	31702	264996	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.563501509330062	0.563501509330062	True	lrt_mle	lrt_mle			0.9164981520900016	False	True	lrt_quadratic		0.977,1.044	0.9766629505050604	1.0443025541656654																																																																																																																		
Post_COVID_19_condition	183678	1545	182133	-0.073952432326626	0.9287158696437521	0.28671879279379003	True	lrt_mle	0.811,1.064	lrt_quadratic	two		True	0.8105795330380097	1.0640697567276325	False	True	False	mle	mle	lrt_mle	183678	1545	182133	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.28671879279379003	0.28671879279379003	True	lrt_mle	lrt_mle			0.8084943464739962	False	True	lrt_quadratic		0.811,1.064	0.8105795330380097	1.0640697567276325																																																																																																																		
Ventricular_premature_depolarization	218376	8677	209699	-0.004928414297538	0.995083710409501	0.869595795675091	True	lrt_mle	0.938,1.055	lrt_quadratic	two		True	0.9382243220309261	1.0553889591978645	False	True	False	mle	mle	lrt_mle	218376	8677	209699	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.869595795675091	0.869595795675091	True	lrt_mle	lrt_mle			0.9772511983413777	False	True	lrt_quadratic		0.938,1.055	0.9382243220309261	1.0553889591978645																																																																																																																		
Other_hearing_abnormality	280405	22853	257552	-0.045994939232777005	0.9550467954480031	0.014854022445291002	True	lrt_mle	0.920,0.991	lrt_quadratic	two		True	0.9203484628999737	0.9910533002048725	False	True	False	mle	mle	lrt_mle	280405	22853	257552	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.014854022445291002	0.014854022445291002	True	lrt_mle	lrt_mle			0.29679903759072973	False	True	lrt_quadratic		0.920,0.991	0.9203484628999737	0.9910533002048725																																																																																																																		
Dizziness_and_giddiness	270588	56753	213835	-0.014693704977297	0.985413720701632	0.275232135754302	True	lrt_mle	0.960,1.012	lrt_quadratic	two		True	0.959744217985528	1.0117697848549883	False	True	False	mle	mle	lrt_mle	270588	56753	213835	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.275232135754302	0.275232135754302	True	lrt_mle	lrt_mle			0.7991828957143449	False	True	lrt_quadratic		0.960,1.012	0.959744217985528	1.0117697848549883																																																																																																																		
Emotional_lability	239882	1179	238703	0.12652553118186802	1.134878425593676	0.10311608357087801	True	lrt_mle	0.975,1.321	lrt_quadratic	two		True	0.9747061438250105	1.3213716247070328	False	True	False	mle	mle	lrt_mle	239882	1179	238703	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.10311608357087801	0.10311608357087801	True	lrt_mle	lrt_mle			0.6235761450829927	False	True	lrt_quadratic		0.975,1.321	0.9747061438250105	1.3213716247070328																																																																																																																		
Dislocation_of_shoulder	189552	2151	187401	-0.045918438022117	0.9551198604788381	0.436170138658487	True	lrt_mle	0.851,1.072	lrt_quadratic	two		True	0.8508689283844671	1.072143919526124	False	True	False	mle	mle	lrt_mle	189552	2151	187401	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.436170138658487	0.436170138658487	True	lrt_mle	lrt_mle			0.8741468519775217	False	True	lrt_quadratic		0.851,1.072	0.8508689283844671	1.072143919526124																																																																																																																		
Chronic_sinusitis	239818	30507	209311	-0.039809263882873	0.9609727138773221	0.018373443798393	True	lrt_mle	0.930,0.993	lrt_quadratic	two		True	0.9296951348396144	0.9933025593126916	False	True	False	mle	mle	lrt_mle	239818	30507	209311	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.018373443798393	0.018373443798393	True	lrt_mle	lrt_mle			0.3347401904060033	False	True	lrt_quadratic		0.930,0.993	0.9296951348396144	0.9933025593126916																																																																																																																		
Neutropenia	270312	5316	264996	-0.022841954108492	0.9774169482996821	0.552255684224462	True	lrt_mle	0.907,1.054	lrt_quadratic	two		True	0.9065013984798779	1.0538802173118444	False	True	False	mle	mle	lrt_mle	270312	5316	264996	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.552255684224462	0.552255684224462	True	lrt_mle	lrt_mle			0.9119159185525213	False	True	lrt_quadratic		0.907,1.054	0.9065013984798779	1.0538802173118444																																																																																																																		
General_symptoms_and_other_findings	237509	55376	182133	-0.035679014561686005	0.9649499786701001	0.010309787277185001	True	lrt_mle	0.939,0.992	lrt_quadratic	two		True	0.9390005408294311	0.9916165335889482	False	True	False	mle	mle	lrt_mle	237509	55376	182133	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.010309787277185001	0.010309787277185001	True	lrt_mle	lrt_mle			0.2576048882038327	False	True	lrt_quadratic		0.939,0.992	0.9390005408294311	0.9916165335889482																																																																																																																		
Signs_and_symptoms_involving_emotional_state	247881	9178	238703	-0.019613499254277002	0.9805775940468011	0.517070077555275	True	lrt_mle	0.924,1.041	lrt_quadratic	two		True	0.9240868279574419	1.0405217224791978	False	True	False	mle	mle	lrt_mle	247881	9178	238703	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.517070077555275	0.517070077555275	True	lrt_mle	lrt_mle			0.9015997987151003	False	True	lrt_quadratic		0.924,1.041	0.9240868279574419	1.0405217224791978																																																																																																																		
Pain_in_wrist	204203	16802	187401	0.012203068362980001	1.012277829597699	0.5877976457927471	True	lrt_mle	0.969,1.058	lrt_quadratic	two		True	0.9685813221058458	1.0579456581582198	False	True	False	mle	mle	lrt_mle	204203	16802	187401	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.5877976457927471	0.5877976457927471	True	lrt_mle	lrt_mle			0.9236981301227655	False	True	lrt_quadratic		0.969,1.058	0.9685813221058458	1.0579456581582198																																																																																																																		
Postnasal_drip	219174	9863	209311	-0.070382047975826	0.932037668772122	0.012590085770014001	True	lrt_mle	0.882,0.985	lrt_quadratic	two		True	0.88190792273991	0.9850169089209617	False	True	False	mle	mle	lrt_mle	219174	9863	209311	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.012590085770014001	0.012590085770014001	True	lrt_mle	lrt_mle			0.2733263113496465	False	True	lrt_quadratic		0.882,0.985	0.88190792273991	0.9850169089209617																																																																																																																		
