Inversion	Category	K_Total	K_GBJ	K_GLS	P_GBJ	T_GLS	P_GLS	Direction	Method	Shrinkage	Lambda	N_Individuals	Z_Cap	GBJ_Draws	Dropped	Phenotypes	Phenotypes_GLS	Q_GBJ	Q_GLS
chr12-46897663-INV-16289	Gastrointestinal	77	77	77	2.00E-05	4.409266859	1.04E-05	increase	fast_phi	ridge	0.05	374300		50000		Abnormal_findings_on_diagnostic_imaging_of_the_digestive_tract;Abnormality_of_the_peritoneum;Aphagia_and_dysphagia;Appendicitis;Atrophic_gastritis;Blood_in_stool;Chronic_liver_disease;Constipation;Diaphragmatic_hernia;Diarrhea;Disease_of_anus_and_rectum;Diseases_of_esophagus;Diseases_of_lips;Diseases_of_salivary_glands;Diseases_of_teeth_and_supporting_structures;Diseases_of_the_pancreas;Disorders_of_the_gallbladder;Diverticular_disease_Bowel_diverticulosis;Duodenal_ulcer;Duodenitis;Esophageal_obstruction_Stricture_and_stenosis_of_esophagus;Fecal_incontinence_and_encopresis;Flatulence_eructation_and_gas_pain;Functional_dyspepsia;Functional_intestinal_disorder;Gastric_ulcer;Gastro_esophageal_reflux_disease_GERD;Gastrointestinal_hemorrhage;Gastrointestinal_inflammation;Gastrointestinal_obstruction;Gingivitis;Heartburn;Hematemesis;Hemorrhage_of_rectum_and_anus;Hepatic_failure;Hepatitis;Hernia;Ileus;Inflammatory_bowel_disease;Inguinal_hernia;Intestinal_fistula;Intestinal_infection;Intestinal_infection_due_to_C._difficile;Intestinal_malabsorption;Intestinal_obstruction;Intestinal_perforation;Irritable_bowel_syndrome;Lesions_of_mouth;Loss_of_teeth_and_edentulism;Nausea;Nausea_and_vomiting;Nonspecific_abnormal_findings_in_stool_contents;Nonspecific_abnormal_results_of_function_study_of_liver;Other_digestive_system_symptoms_and_diseases;Other_diseases_of_biliary_tract;Other_diseases_of_stomach_and_duodenum;Other_disorders_of_liver;Other_disorders_of_the_intestines;Pancreatitis;Paralytic_ileus;Peptic_ulcer;Periapical_abscess;Periodontal_diseases;Periodontitis;Peritonitis;Portal_hypertension;Pulpitis;Recurrent_oral_aphthae_Recurrent_aphthous_stomatitis;Stomatitis;Symptoms_involving_digestive_system;Ulceration_of_the_lower_GI_tract;Ulcerative_colitis;Umbilical_hernia;Vascular_disorders_of_intestine;Ventral_hernia;Viral_enteritis;Vomiting	Abnormal_findings_on_diagnostic_imaging_of_the_digestive_tract;Abnormality_of_the_peritoneum;Aphagia_and_dysphagia;Appendicitis;Atrophic_gastritis;Blood_in_stool;Chronic_liver_disease;Constipation;Diaphragmatic_hernia;Diarrhea;Disease_of_anus_and_rectum;Diseases_of_esophagus;Diseases_of_lips;Diseases_of_salivary_glands;Diseases_of_teeth_and_supporting_structures;Diseases_of_the_pancreas;Disorders_of_the_gallbladder;Diverticular_disease_Bowel_diverticulosis;Duodenal_ulcer;Duodenitis;Esophageal_obstruction_Stricture_and_stenosis_of_esophagus;Fecal_incontinence_and_encopresis;Flatulence_eructation_and_gas_pain;Functional_dyspepsia;Functional_intestinal_disorder;Gastric_ulcer;Gastro_esophageal_reflux_disease_GERD;Gastrointestinal_hemorrhage;Gastrointestinal_inflammation;Gastrointestinal_obstruction;Gingivitis;Heartburn;Hematemesis;Hemorrhage_of_rectum_and_anus;Hepatic_failure;Hepatitis;Hernia;Ileus;Inflammatory_bowel_disease;Inguinal_hernia;Intestinal_fistula;Intestinal_infection;Intestinal_infection_due_to_C._difficile;Intestinal_malabsorption;Intestinal_obstruction;Intestinal_perforation;Irritable_bowel_syndrome;Lesions_of_mouth;Loss_of_teeth_and_edentulism;Nausea;Nausea_and_vomiting;Nonspecific_abnormal_findings_in_stool_contents;Nonspecific_abnormal_results_of_function_study_of_liver;Other_digestive_system_symptoms_and_diseases;Other_diseases_of_biliary_tract;Other_diseases_of_stomach_and_duodenum;Other_disorders_of_liver;Other_disorders_of_the_intestines;Pancreatitis;Paralytic_ileus;Peptic_ulcer;Periapical_abscess;Periodontal_diseases;Periodontitis;Peritonitis;Portal_hypertension;Pulpitis;Recurrent_oral_aphthae_Recurrent_aphthous_stomatitis;Stomatitis;Symptoms_involving_digestive_system;Ulceration_of_the_lower_GI_tract;Ulcerative_colitis;Umbilical_hernia;Vascular_disorders_of_intestine;Ventral_hernia;Viral_enteritis;Vomiting	7.50E-05	7.78E-05
chr12-46897663-INV-16289	Genitourinary	60	60	60	2.00E-05	3.940207743	8.14E-05	increase	fast_phi	ridge	0.05	380266		50000		Abnormal_findings_on_radiological_and_other_examination_of_genitourinary_organs;Abnormality_of_urination;Abscess_or_ulceration_of_vulva;Acute_pyelonephritis;Benign_mammary_dysplasias;Cervicitis_and_endocervicitis;Chronic_kidney_disease;Cyst_of_kidney;Disorders_and_findings_from_impaired_renal_function;Disorders_of_penis;Disorders_of_testis;Dysplasia_of_female_genital_organs;Elevated_prostate_specific_antigen_PSA;Endometriosis;Glomerular_diseases;Gross_hematuria;Hematuria;Hydronephrosis;Inflammatory_disease_of_cervix_vagina_and_vulva;Inflammatory_diseases_of_female_pelvic_organs;Inflammatory_diseases_of_prostate;Irregular_menstrual_cycle;Kidney_stone_disease;Male_erectile_dysfunction;Male_sexual_dysfuction;Microscopic_hematuria;Morphologic_lesions_in_glomerular_diseases;Neuromuscular_dysfunction_of_bladder;Nocturia;Noninflammatory_disorders_of_ovary_fallopian_tube_and_broad_ligament;Obstructive_and_reflux_uropathy;Oliguria_and_anuria;Orchitis_and_epididymitis;Other_disorders_of_bladder;Other_disorders_of_male_genital_organs;Other_disorders_of_the_kidney_and_ureters;Other_disorders_of_urethra_and_urinary_tract;Other_symptomsdisorders_or_the_urinary_system;Ovarian_cyst;Overactive_bladder;Pain_and_other_symptoms_associated_with_female_genital_organs;Pelvic_inflammatory_disease_PID;Pelvic_organ_prolapse_and_fistulas;Pelvic_peritoneal_adhesions_female_postoperative_postinfection;Prostatitis;Renal_colic;Renal_failure;Renal_sclerosis_unspecified;Renal_tubulo_interstitial_diseases;Retention_of_urine;Scrotal_pain;Stress_incontinence;Symptoms_involving_female_genital_tract;Urethritis;Urge_incontinence;Urinary_incontinence_and_enuresis;Urinary_tract_infection_UTI;Urinary_urgency;UterineUterovaginal_prolapse;Vaginitis_and_vulvovaginitis	Abnormal_findings_on_radiological_and_other_examination_of_genitourinary_organs;Abnormality_of_urination;Abscess_or_ulceration_of_vulva;Acute_pyelonephritis;Benign_mammary_dysplasias;Cervicitis_and_endocervicitis;Chronic_kidney_disease;Cyst_of_kidney;Disorders_and_findings_from_impaired_renal_function;Disorders_of_penis;Disorders_of_testis;Dysplasia_of_female_genital_organs;Elevated_prostate_specific_antigen_PSA;Endometriosis;Glomerular_diseases;Gross_hematuria;Hematuria;Hydronephrosis;Inflammatory_disease_of_cervix_vagina_and_vulva;Inflammatory_diseases_of_female_pelvic_organs;Inflammatory_diseases_of_prostate;Irregular_menstrual_cycle;Kidney_stone_disease;Male_erectile_dysfunction;Male_sexual_dysfuction;Microscopic_hematuria;Morphologic_lesions_in_glomerular_diseases;Neuromuscular_dysfunction_of_bladder;Nocturia;Noninflammatory_disorders_of_ovary_fallopian_tube_and_broad_ligament;Obstructive_and_reflux_uropathy;Oliguria_and_anuria;Orchitis_and_epididymitis;Other_disorders_of_bladder;Other_disorders_of_male_genital_organs;Other_disorders_of_the_kidney_and_ureters;Other_disorders_of_urethra_and_urinary_tract;Other_symptomsdisorders_or_the_urinary_system;Ovarian_cyst;Overactive_bladder;Pain_and_other_symptoms_associated_with_female_genital_organs;Pelvic_inflammatory_disease_PID;Pelvic_organ_prolapse_and_fistulas;Pelvic_peritoneal_adhesions_female_postoperative_postinfection;Prostatitis;Renal_colic;Renal_failure;Renal_sclerosis_unspecified;Renal_tubulo_interstitial_diseases;Retention_of_urine;Scrotal_pain;Stress_incontinence;Symptoms_involving_female_genital_tract;Urethritis;Urge_incontinence;Urinary_incontinence_and_enuresis;Urinary_tract_infection_UTI;Urinary_urgency;UterineUterovaginal_prolapse;Vaginitis_and_vulvovaginitis	7.50E-05	0.0003052915421
chr12-46897663-INV-16289	Neoplasms	28	28	28	2.00E-05	3.957681912	7.57E-05	increase	fast_phi	ridge	0.05	382742		50000		Abnormal_mammogram;Benign_neoplasm_of_the_breast;Benign_neoplasm_of_the_digestive_organs;Benign_neoplasm_of_the_head_and_neck;Benign_neoplasm_of_the_skin;Benign_sarcoma_related_cancers;Cancer_solid_tumor_excluding_BCC;Hemo_onc_by_cell_of_origin;Keratinocyte_carcinoma;Leiomyoma_of_uterus;Lump_or_mass_in_breast_or_nonspecific_abnormal_breast_exam;Malignant_neoplasm_of_external_female_genital_organs_and_cervix;Malignant_neoplasm_of_other_and_ill_defined_sites;Malignant_neoplasm_of_the_breast;Malignant_neoplasm_of_the_breast_female;Malignant_neoplasm_of_the_cervix;Malignant_neoplasm_of_the_digestive_organs;Malignant_neoplasm_of_the_endocrine_glands;Malignant_neoplasm_of_the_eye_brain_and_other_parts_of_central_nervous_system;Malignant_neoplasm_of_the_head_and_neck;Malignant_neoplasm_of_the_thoracic_and_respiratory_organs;Malignant_neoplasm_of_the_urinary_tract;Malignant_sarcoma_related_cancers;Mammographic_microcalcification;Melanocytic_nevi;Neuroendocrine_tumors;Secondary_malignant_neoplasm;Sequelae_of_cancer	Abnormal_mammogram;Benign_neoplasm_of_the_breast;Benign_neoplasm_of_the_digestive_organs;Benign_neoplasm_of_the_head_and_neck;Benign_neoplasm_of_the_skin;Benign_sarcoma_related_cancers;Cancer_solid_tumor_excluding_BCC;Hemo_onc_by_cell_of_origin;Keratinocyte_carcinoma;Leiomyoma_of_uterus;Lump_or_mass_in_breast_or_nonspecific_abnormal_breast_exam;Malignant_neoplasm_of_external_female_genital_organs_and_cervix;Malignant_neoplasm_of_other_and_ill_defined_sites;Malignant_neoplasm_of_the_breast;Malignant_neoplasm_of_the_breast_female;Malignant_neoplasm_of_the_cervix;Malignant_neoplasm_of_the_digestive_organs;Malignant_neoplasm_of_the_endocrine_glands;Malignant_neoplasm_of_the_eye_brain_and_other_parts_of_central_nervous_system;Malignant_neoplasm_of_the_head_and_neck;Malignant_neoplasm_of_the_thoracic_and_respiratory_organs;Malignant_neoplasm_of_the_urinary_tract;Malignant_sarcoma_related_cancers;Mammographic_microcalcification;Melanocytic_nevi;Neuroendocrine_tumors;Secondary_malignant_neoplasm;Sequelae_of_cancer	7.50E-05	0.0003052915421
chr12-46897663-INV-16289	Dermatological	35	35	35	2.00E-05	5.314125298	1.07E-07	increase	fast_phi	ridge	0.05	382735		50000		Acne;Atrophic_conditions_of_skin;Bacterial_infection_of_the_skin;Cellulitis_and_abscess;Chronic_ulcer_of_skin;Cutaneous_cyst;Dermatitis_eczema;Diseases_of_hair_and_hair_follicles;Disorders_of_sweat_glands;Epidermal_thickening;Erythematous_conditions;Granulomatous_disorder_of_the_skin;Hypertrophic_conditions_of_skin;Impetigo;Infection_of_the_skin;Keratoderma;Lichen_simplex_chronicus;Localized_swelling_mass_and_lump_of_skin_and_subcutaneous_tissue;Neutrophilic_and_Eosinophilic_dermatoses;Non_pressure_chronic_ulcer;Other_follicular_disorders;Other_skin_and_subcutaneous_disorders;Papulosquamous_disorders;Pressure_ulcer;Prurigo;Psoriasis;Rash_and_other_nonspecific_skin_eruption;Rosacea;Scar_conditions_and_fibrosis_of_skin;Sebaceous_cyst_Epidermal_cyst;Seborrheic_dermatitis;Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation;Skin_changes_due_to_solar_radiation;Skin_symptoms;Xerosis_cutis	Acne;Atrophic_conditions_of_skin;Bacterial_infection_of_the_skin;Cellulitis_and_abscess;Chronic_ulcer_of_skin;Cutaneous_cyst;Dermatitis_eczema;Diseases_of_hair_and_hair_follicles;Disorders_of_sweat_glands;Epidermal_thickening;Erythematous_conditions;Granulomatous_disorder_of_the_skin;Hypertrophic_conditions_of_skin;Impetigo;Infection_of_the_skin;Keratoderma;Lichen_simplex_chronicus;Localized_swelling_mass_and_lump_of_skin_and_subcutaneous_tissue;Neutrophilic_and_Eosinophilic_dermatoses;Non_pressure_chronic_ulcer;Other_follicular_disorders;Other_skin_and_subcutaneous_disorders;Papulosquamous_disorders;Pressure_ulcer;Prurigo;Psoriasis;Rash_and_other_nonspecific_skin_eruption;Rosacea;Scar_conditions_and_fibrosis_of_skin;Sebaceous_cyst_Epidermal_cyst;Seborrheic_dermatitis;Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation;Skin_changes_due_to_solar_radiation;Skin_symptoms;Xerosis_cutis	7.50E-05	1.61E-06
chr17-45585160-INV-706887	Neoplasms	28	28	28	2.00E-05	-4.442370381	8.90E-06	decrease	fast_phi	ridge	0.05	382742		50000		Abnormal_mammogram;Benign_neoplasm_of_the_breast;Benign_neoplasm_of_the_digestive_organs;Benign_neoplasm_of_the_head_and_neck;Benign_neoplasm_of_the_skin;Benign_sarcoma_related_cancers;Cancer_solid_tumor_excluding_BCC;Hemo_onc_by_cell_of_origin;Keratinocyte_carcinoma;Leiomyoma_of_uterus;Lump_or_mass_in_breast_or_nonspecific_abnormal_breast_exam;Malignant_neoplasm_of_external_female_genital_organs_and_cervix;Malignant_neoplasm_of_other_and_ill_defined_sites;Malignant_neoplasm_of_the_breast;Malignant_neoplasm_of_the_breast_female;Malignant_neoplasm_of_the_cervix;Malignant_neoplasm_of_the_digestive_organs;Malignant_neoplasm_of_the_endocrine_glands;Malignant_neoplasm_of_the_eye_brain_and_other_parts_of_central_nervous_system;Malignant_neoplasm_of_the_head_and_neck;Malignant_neoplasm_of_the_thoracic_and_respiratory_organs;Malignant_neoplasm_of_the_urinary_tract;Malignant_sarcoma_related_cancers;Mammographic_microcalcification;Melanocytic_nevi;Neuroendocrine_tumors;Secondary_malignant_neoplasm;Sequelae_of_cancer	Abnormal_mammogram;Benign_neoplasm_of_the_breast;Benign_neoplasm_of_the_digestive_organs;Benign_neoplasm_of_the_head_and_neck;Benign_neoplasm_of_the_skin;Benign_sarcoma_related_cancers;Cancer_solid_tumor_excluding_BCC;Hemo_onc_by_cell_of_origin;Keratinocyte_carcinoma;Leiomyoma_of_uterus;Lump_or_mass_in_breast_or_nonspecific_abnormal_breast_exam;Malignant_neoplasm_of_external_female_genital_organs_and_cervix;Malignant_neoplasm_of_other_and_ill_defined_sites;Malignant_neoplasm_of_the_breast;Malignant_neoplasm_of_the_breast_female;Malignant_neoplasm_of_the_cervix;Malignant_neoplasm_of_the_digestive_organs;Malignant_neoplasm_of_the_endocrine_glands;Malignant_neoplasm_of_the_eye_brain_and_other_parts_of_central_nervous_system;Malignant_neoplasm_of_the_head_and_neck;Malignant_neoplasm_of_the_thoracic_and_respiratory_organs;Malignant_neoplasm_of_the_urinary_tract;Malignant_sarcoma_related_cancers;Mammographic_microcalcification;Melanocytic_nevi;Neuroendocrine_tumors;Secondary_malignant_neoplasm;Sequelae_of_cancer	0.0001499970001	0.000133459849
chr17-45585160-INV-706887	Dermatological	35	35	35	2.00E-05	-4.132212588	3.59E-05	decrease	fast_phi	ridge	0.05	382735		50000		Acne;Atrophic_conditions_of_skin;Bacterial_infection_of_the_skin;Cellulitis_and_abscess;Chronic_ulcer_of_skin;Cutaneous_cyst;Dermatitis_eczema;Diseases_of_hair_and_hair_follicles;Disorders_of_sweat_glands;Epidermal_thickening;Erythematous_conditions;Granulomatous_disorder_of_the_skin;Hypertrophic_conditions_of_skin;Impetigo;Infection_of_the_skin;Keratoderma;Lichen_simplex_chronicus;Localized_swelling_mass_and_lump_of_skin_and_subcutaneous_tissue;Neutrophilic_and_Eosinophilic_dermatoses;Non_pressure_chronic_ulcer;Other_follicular_disorders;Other_skin_and_subcutaneous_disorders;Papulosquamous_disorders;Pressure_ulcer;Prurigo;Psoriasis;Rash_and_other_nonspecific_skin_eruption;Rosacea;Scar_conditions_and_fibrosis_of_skin;Sebaceous_cyst_Epidermal_cyst;Seborrheic_dermatitis;Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation;Skin_changes_due_to_solar_radiation;Skin_symptoms;Xerosis_cutis	Acne;Atrophic_conditions_of_skin;Bacterial_infection_of_the_skin;Cellulitis_and_abscess;Chronic_ulcer_of_skin;Cutaneous_cyst;Dermatitis_eczema;Diseases_of_hair_and_hair_follicles;Disorders_of_sweat_glands;Epidermal_thickening;Erythematous_conditions;Granulomatous_disorder_of_the_skin;Hypertrophic_conditions_of_skin;Impetigo;Infection_of_the_skin;Keratoderma;Lichen_simplex_chronicus;Localized_swelling_mass_and_lump_of_skin_and_subcutaneous_tissue;Neutrophilic_and_Eosinophilic_dermatoses;Non_pressure_chronic_ulcer;Other_follicular_disorders;Other_skin_and_subcutaneous_disorders;Papulosquamous_disorders;Pressure_ulcer;Prurigo;Psoriasis;Rash_and_other_nonspecific_skin_eruption;Rosacea;Scar_conditions_and_fibrosis_of_skin;Sebaceous_cyst_Epidermal_cyst;Seborrheic_dermatitis;Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation;Skin_changes_due_to_solar_radiation;Skin_symptoms;Xerosis_cutis	0.0001499970001	0.0002694659121
chr12-46897663-INV-16289	Sense organs	53	53	53	5.71E-05	3.319198228	0.0009027632024	increase	fast_phi	ridge	0.05	381814		35000		Abnormal_intraocular_pressure;Blindness_and_low_vision;Conjunctivitis;Cortical_age_related_cataract;Dermatochalasis_of_eyelid;Disorders_of_choroid;Disorders_of_eyelid_function;Disorders_of_lacrimal_system;Disorders_of_refraction_and_accommodation;Disorders_of_the_cornea;Disorders_of_the_middle_ear;Disorders_of_the_retina;Eye_infection_viral;Hearing_impairment;Hypermetropia;Hypertensive_retinopathy;Infection_of_the_eye;Inflammation_of_the_eye;Keratitis;Keratoconjunctivitis_sicca;Lattice_degeneration_of_retina;Macular_degeneration;Meibomian_gland_dysfunction_of_eyelid;Mixed_conductive_and_sensorineural_hearing_loss;Myopia;Non_degenerative_maculopathy;Ocular_hypertension;Open_angle_glaucoma;Otalgia_and_effusion_of_ear;Other_disorders_of_ear;Other_disorders_of_the_eyelids;Other_hearing_abnormality;Otitis_media;Peripheral_retinal_degeneration;Pinguecula;Posterior_subcapsular_polar_cataract;Presbyopia;Ptosis_of_eyelid;Puckering_of_macula;Retinal_detachments_and_breaks;Retinal_edema;Retinal_hemorrhage;Retinal_occlusions;Retinal_vasculopathy;Retinopathy;Sensorineural_hearing_loss;Subcapsular_cataract;Tinnitus;Unilateral_hearing_loss;Visual_discomfort;Visual_distortions_and_subjective_visual_disturbances;Visual_disturbances;Vitreous_degeneration	Abnormal_intraocular_pressure;Blindness_and_low_vision;Conjunctivitis;Cortical_age_related_cataract;Dermatochalasis_of_eyelid;Disorders_of_choroid;Disorders_of_eyelid_function;Disorders_of_lacrimal_system;Disorders_of_refraction_and_accommodation;Disorders_of_the_cornea;Disorders_of_the_middle_ear;Disorders_of_the_retina;Eye_infection_viral;Hearing_impairment;Hypermetropia;Hypertensive_retinopathy;Infection_of_the_eye;Inflammation_of_the_eye;Keratitis;Keratoconjunctivitis_sicca;Lattice_degeneration_of_retina;Macular_degeneration;Meibomian_gland_dysfunction_of_eyelid;Mixed_conductive_and_sensorineural_hearing_loss;Myopia;Non_degenerative_maculopathy;Ocular_hypertension;Open_angle_glaucoma;Otalgia_and_effusion_of_ear;Other_disorders_of_ear;Other_disorders_of_the_eyelids;Other_hearing_abnormality;Otitis_media;Peripheral_retinal_degeneration;Pinguecula;Posterior_subcapsular_polar_cataract;Presbyopia;Ptosis_of_eyelid;Puckering_of_macula;Retinal_detachments_and_breaks;Retinal_edema;Retinal_hemorrhage;Retinal_occlusions;Retinal_vasculopathy;Retinopathy;Sensorineural_hearing_loss;Subcapsular_cataract;Tinnitus;Unilateral_hearing_loss;Visual_discomfort;Visual_distortions_and_subjective_visual_disturbances;Visual_disturbances;Vitreous_degeneration	0.0001714236736	0.001934492577
chr17-45585160-INV-706887	Symptoms	31	31	31	4.00E-05	-3.385225265	0.0007111986344	decrease	fast_phi	ridge	0.05	379929		50000		Abnormal_cytological_findings_in_specimens_from_genital_organs;Abnormal_findings_on_examination_of_blood;Acute_pain;Allergy;Chest_pain;Chills_without_fever;Chronic_fatigue_syndrome;Chronic_pain;Cytology_and_pathology_findings;Edema;Elevated_C_reactive_protein_CRP;Fever;General_symptoms_and_other_findings;Jaundice;Malaise_and_fatigue;Muscle_weakness_generalized;Nonspecific_abnormal_findings_of_other_body_structures;Nonspecific_reaction_to_test_for_tuberculosis;Other_abnormal_findings_in_urine;Other_abnormal_immunological_findings_in_serum;Pain_in_arm;Pain_in_foot_and_toes;Pain_in_hand_and_fingers;Pain_in_leg;Pleurodynia;Proteinuria;Septic_shock;Syncope_and_collapse;Transplated_organ;Weakness;Wheelchair_dependence	Abnormal_cytological_findings_in_specimens_from_genital_organs;Abnormal_findings_on_examination_of_blood;Acute_pain;Allergy;Chest_pain;Chills_without_fever;Chronic_fatigue_syndrome;Chronic_pain;Cytology_and_pathology_findings;Edema;Elevated_C_reactive_protein_CRP;Fever;General_symptoms_and_other_findings;Jaundice;Malaise_and_fatigue;Muscle_weakness_generalized;Nonspecific_abnormal_findings_of_other_body_structures;Nonspecific_reaction_to_test_for_tuberculosis;Other_abnormal_findings_in_urine;Other_abnormal_immunological_findings_in_serum;Pain_in_arm;Pain_in_foot_and_toes;Pain_in_hand_and_fingers;Pain_in_leg;Pleurodynia;Proteinuria;Septic_shock;Syncope_and_collapse;Transplated_organ;Weakness;Wheelchair_dependence	0.0001999960001	0.003555993172
chr12-46897663-INV-16289	Symptoms	31	31	31	8.57E-05	3.359007921	0.0007822282528	increase	fast_phi	ridge	0.05	379929		35000		Abnormal_cytological_findings_in_specimens_from_genital_organs;Abnormal_findings_on_examination_of_blood;Acute_pain;Allergy;Chest_pain;Chills_without_fever;Chronic_fatigue_syndrome;Chronic_pain;Cytology_and_pathology_findings;Edema;Elevated_C_reactive_protein_CRP;Fever;General_symptoms_and_other_findings;Jaundice;Malaise_and_fatigue;Muscle_weakness_generalized;Nonspecific_abnormal_findings_of_other_body_structures;Nonspecific_reaction_to_test_for_tuberculosis;Other_abnormal_findings_in_urine;Other_abnormal_immunological_findings_in_serum;Pain_in_arm;Pain_in_foot_and_toes;Pain_in_hand_and_fingers;Pain_in_leg;Pleurodynia;Proteinuria;Septic_shock;Syncope_and_collapse;Transplated_organ;Weakness;Wheelchair_dependence	Abnormal_cytological_findings_in_specimens_from_genital_organs;Abnormal_findings_on_examination_of_blood;Acute_pain;Allergy;Chest_pain;Chills_without_fever;Chronic_fatigue_syndrome;Chronic_pain;Cytology_and_pathology_findings;Edema;Elevated_C_reactive_protein_CRP;Fever;General_symptoms_and_other_findings;Jaundice;Malaise_and_fatigue;Muscle_weakness_generalized;Nonspecific_abnormal_findings_of_other_body_structures;Nonspecific_reaction_to_test_for_tuberculosis;Other_abnormal_findings_in_urine;Other_abnormal_immunological_findings_in_serum;Pain_in_arm;Pain_in_foot_and_toes;Pain_in_hand_and_fingers;Pain_in_leg;Pleurodynia;Proteinuria;Septic_shock;Syncope_and_collapse;Transplated_organ;Weakness;Wheelchair_dependence	0.000214279592	0.001934492577
chr17-45585160-INV-706887	Gastrointestinal	77	77	77	0.0001142824491	-2.554422303	0.01063641652	decrease	fast_phi	ridge	0.05	374300		35000		Abnormal_findings_on_diagnostic_imaging_of_the_digestive_tract;Abnormality_of_the_peritoneum;Aphagia_and_dysphagia;Appendicitis;Atrophic_gastritis;Blood_in_stool;Chronic_liver_disease;Constipation;Diaphragmatic_hernia;Diarrhea;Disease_of_anus_and_rectum;Diseases_of_esophagus;Diseases_of_lips;Diseases_of_salivary_glands;Diseases_of_teeth_and_supporting_structures;Diseases_of_the_pancreas;Disorders_of_the_gallbladder;Diverticular_disease_Bowel_diverticulosis;Duodenal_ulcer;Duodenitis;Esophageal_obstruction_Stricture_and_stenosis_of_esophagus;Fecal_incontinence_and_encopresis;Flatulence_eructation_and_gas_pain;Functional_dyspepsia;Functional_intestinal_disorder;Gastric_ulcer;Gastro_esophageal_reflux_disease_GERD;Gastrointestinal_hemorrhage;Gastrointestinal_inflammation;Gastrointestinal_obstruction;Gingivitis;Heartburn;Hematemesis;Hemorrhage_of_rectum_and_anus;Hepatic_failure;Hepatitis;Hernia;Ileus;Inflammatory_bowel_disease;Inguinal_hernia;Intestinal_fistula;Intestinal_infection;Intestinal_infection_due_to_C._difficile;Intestinal_malabsorption;Intestinal_obstruction;Intestinal_perforation;Irritable_bowel_syndrome;Lesions_of_mouth;Loss_of_teeth_and_edentulism;Nausea;Nausea_and_vomiting;Nonspecific_abnormal_findings_in_stool_contents;Nonspecific_abnormal_results_of_function_study_of_liver;Other_digestive_system_symptoms_and_diseases;Other_diseases_of_biliary_tract;Other_diseases_of_stomach_and_duodenum;Other_disorders_of_liver;Other_disorders_of_the_intestines;Pancreatitis;Paralytic_ileus;Peptic_ulcer;Periapical_abscess;Periodontal_diseases;Periodontitis;Peritonitis;Portal_hypertension;Pulpitis;Recurrent_oral_aphthae_Recurrent_aphthous_stomatitis;Stomatitis;Symptoms_involving_digestive_system;Ulceration_of_the_lower_GI_tract;Ulcerative_colitis;Umbilical_hernia;Vascular_disorders_of_intestine;Ventral_hernia;Viral_enteritis;Vomiting	Abnormal_findings_on_diagnostic_imaging_of_the_digestive_tract;Abnormality_of_the_peritoneum;Aphagia_and_dysphagia;Appendicitis;Atrophic_gastritis;Blood_in_stool;Chronic_liver_disease;Constipation;Diaphragmatic_hernia;Diarrhea;Disease_of_anus_and_rectum;Diseases_of_esophagus;Diseases_of_lips;Diseases_of_salivary_glands;Diseases_of_teeth_and_supporting_structures;Diseases_of_the_pancreas;Disorders_of_the_gallbladder;Diverticular_disease_Bowel_diverticulosis;Duodenal_ulcer;Duodenitis;Esophageal_obstruction_Stricture_and_stenosis_of_esophagus;Fecal_incontinence_and_encopresis;Flatulence_eructation_and_gas_pain;Functional_dyspepsia;Functional_intestinal_disorder;Gastric_ulcer;Gastro_esophageal_reflux_disease_GERD;Gastrointestinal_hemorrhage;Gastrointestinal_inflammation;Gastrointestinal_obstruction;Gingivitis;Heartburn;Hematemesis;Hemorrhage_of_rectum_and_anus;Hepatic_failure;Hepatitis;Hernia;Ileus;Inflammatory_bowel_disease;Inguinal_hernia;Intestinal_fistula;Intestinal_infection;Intestinal_infection_due_to_C._difficile;Intestinal_malabsorption;Intestinal_obstruction;Intestinal_perforation;Irritable_bowel_syndrome;Lesions_of_mouth;Loss_of_teeth_and_edentulism;Nausea;Nausea_and_vomiting;Nonspecific_abnormal_findings_in_stool_contents;Nonspecific_abnormal_results_of_function_study_of_liver;Other_digestive_system_symptoms_and_diseases;Other_diseases_of_biliary_tract;Other_diseases_of_stomach_and_duodenum;Other_disorders_of_liver;Other_disorders_of_the_intestines;Pancreatitis;Paralytic_ileus;Peptic_ulcer;Periapical_abscess;Periodontal_diseases;Periodontitis;Peritonitis;Portal_hypertension;Pulpitis;Recurrent_oral_aphthae_Recurrent_aphthous_stomatitis;Stomatitis;Symptoms_involving_digestive_system;Ulceration_of_the_lower_GI_tract;Ulcerative_colitis;Umbilical_hernia;Vascular_disorders_of_intestine;Ventral_hernia;Viral_enteritis;Vomiting	0.000428559184	0.03988656196
