Chromosome	Start	End	OrigID	recomb_cM_per_Mb	recomb_cM_per_Mb_flank	dist_to_centromere	rel_arm_position	arm
chr1	13104252	13122521	chr1-13084312-INV-62181	0.4912139165981468	2.300055563698372	108577479	0.8922482662284306	p
chr1	145160434	146154520	chr1-145160435-INV-994087	0.4256031138268056	0.4292339524620701	20060434	0.16597828895783862	q
chr1	146298109	148672872	chr1-146298110-INV-2374764	1.3351468456973214	0.9308663482302251	21198109	0.18073741868629145	q
chr1	248128773	248428856	chr1-248128774-INV-300084	0.6735038408651954	1.3638084359203617	123028773	0.9945290846525503	q
chr1	25324280	25369060	chr1-25338356-INV-24067	0.13697478867234808	1.1647046620033983	96330940	0.7917282662284306	p
chr1	81650508	81707447	chr1-81642914-INV-66617	3.0021618949570525	1.322803476377004	39992553	0.32884981922760886	p
chr10	15742803	15760427	chr10-15742645-INV-17942	1.4955281853495637	1.9198780023295257	22239573	0.5854838157894737	p
chr10	46983451	47468232	chr10-46983452-INV-484782	1.143396244040677	1.7465127613440856	5383451	0.06101950442822577	q
chr10	79542901	80217413	chr10-79542902-INV-674513	0.4830763044314473	2.2156063575183325	37942901	0.41519769392250466	q
chr11	18249084	18265819	chr11-18246600-INV-21672	4.987098940853921	1.4877548242802394	32734181	0.6420107647058824	p
chr11	50154999	50324102	chr11-50136371-INV-206505	0.03359355595633238	0.03272782429856136	675898	0.01491078431372549	p
chr12	131312081	131644839	chr12-131312082-INV-332759	2.8643794632608626	2.436253652081959	93512081	0.9811799614076138	q
chr12	131333943	131623807	chr12-131333944-INV-289865	2.480391719158276	2.5410220747913	93533943	0.9811843080811605	q
chr12	46896694	46915975	chr12-46897663-INV-16289	0.1952487435240875	1.1366432754838414	9096694	0.09537894242374224	q
chr12	75713180	75731794	chr12-75713181-INV-18615	11.705143696974595	1.6042277809096603	37913180	0.39719679776056027	q
chr13	52344010	52502256	chr13-52344011-INV-158247	0.10536448131122772	0.6606709568428499	33444010	0.3511587385813893	q
chr13	53902573	54093373	chr13-53902574-INV-190801	0.5737773619819264	0.6400605565536175	35002573	0.3676553717531013	q
chr13	64598737	64616218	chr13-64598738-INV-17482	4.451321217912958	0.45814695576656206	45698737	0.47879116689534545	q
chr13	79823210	79839670	chr13-79822252-INV-17591	0.25923232310585576	0.9499729150333778	60923210	0.638263959706499	q
chr14	85872200	85889269	chr14-85872201-INV-17070	2.935452194818888	1.010777745386143	67672200	0.7617953809632325	q
chr15	22701127	23213881	chr15-22701128-INV-512754	4.334141668680316	4.630238590156831	2201127	0.03015668356489436	q
chr15	30618103	32153204	chr15-30618104-INV-1535102	1.147519887428548	2.319411537213245	10118103	0.13358073594925704	q
chr15	84373375	84416696	chr15-84373376-INV-43322	0.013992208972369977	0.4345399557373355	63873375	0.7840729259699475	q
chr16	15384482	16276146	chr16-15384483-INV-891665	1.8865279801290693	1.1205447513318703	19023854	0.551549178470255	p
chr16	16721273	18073542	chr16-16721274-INV-1352270	1.9445220686568088	1.640278585602939	17226458	0.5071556090651558	p
chr16	21583511	22432381	chr16-21583512-INV-848871	0.3104029480561147	1.8047961738375982	12867619	0.3765454390934844	p
chr16	21864964	22432381	chr16-21864965-INV-567418	0.24323847890080563	1.8405016135691739	12867619	0.3725588668555241	p
chr16	28471892	28637651	chr16-28471894-INV-165758	0.0906055027700928	1.0207816270727612	6662349	0.1910829745042493	p
chr16	75206214	75222748	chr16-75204855-INV-19244	1.2942468927114383	0.9374114599193462	36806214	0.7088112068260936	q
chr17	45585159	46292045	chr17-45585160-INV-706887	0.5808912911509769	0.6064364001474871	18185159	0.3318913589328233	q
chr17	60035640	60110888	chr17-60019740-INV-107140	0.23951878080057978	0.3605651765688762	32635640	0.5849402230940011	q
chr19	47959660	50091195	chr19-47959661-INV-2131536	2.0728568660127973	3.0375571080235986	19859660	0.6856835409423856	q
chr2	108527821	109733036	chr2-108527822-INV-1205216	1.2851119965939577	1.1677356115808522	12527821	0.0898153843731346	q
chr2	130138212	131200602	chr2-130138213-INV-1062391	0.8047327543225149	0.937575046481669	34138212	0.23714734323158723	q
chr2	130138212	131530534	chr2-130138213-INV-1392323	0.6730178188987451	1.2669494021317291	34138212	0.23827575158952488	q
chr2	45065588	45081777	chr2-45062769-INV-12977	1.8180623032997971	1.7376346169791361	46718223	0.5090012854030501	p
chr2	87995841	88180536	chr2-87995842-INV-184695	1.777536178613168	1.8340750149977652	3619464	0.04043368191721133	p
chr2	91832040	92012663	chr2-91832041-INV-180624	0.01904790348706216	0.027834506858276598	0	0.0	acen
chr2	95496989	95579796	chr2-95496991-INV-82806	0.03125225521435202	0.06412854497367704	0	0.0	acen
chr2	95800191	96024403	chr2-95800192-INV-224213	0.03117625524894417	0.11655689791460588	0	0.0	acen
chr20	25846148	26009643	chr20-25846149-INV-163496	0.07065588788883868	0.15378214646922927	0	0.0	acen
chr20	47841016	47888238	chr20-47827034-INV-77611	2.639974407407101	2.045372647508721	17441016	0.5129990990820836	q
chr21	13987773	14056796	chr21-13992018-INV-65632	1.0667858347892847	1.6124239124483055	987773	0.030325853323628197	q
chr21	19877734	20070170	chr21-19877735-INV-192437	0.9434897606787725	2.0460221622418215	6877734	0.20688091121256275	q
chr21	43821742	43835116	chr21-43821743-INV-13374	0.8523484257832161	1.7440148999650695	30821742	0.9145192686688688	q
chr22	21443089	21491761	chr22-21442678-INV-15944	0.8288277397795057	2.1188430048681806	4043089	0.12171189295691233	q
chr3	195692124	195956606	chr3-195680867-INV-272256	0.9282953475641952	1.845778969662561	101692124	0.9763058559377394	q
chr3	195749463	195980207	chr3-195749464-INV-230745	0.9037060142779221	1.8201394225798566	101749463	0.9766938878001508	q
chr4	87926011	87937547	chr4-87925789-INV-11799	1.0130492932624997	0.9528970532806156	36126011	0.26104031472701694	q
chr5	112179911	112236600	chr5-112179912-INV-56689	0.3892377712384839	0.8911378032459467	60779911	0.467258863513765	q
chr5	124425560	124546657	chr5-124425561-INV-121098	2.0789080686930284	1.4532140783106584	73025560	0.5616035481157006	q
chr5	177946129	178003952	chr5-177946130-INV-57824	5.919642191418459	1.6550602846473055	126546129	0.9726197428229004	q
chr6	141866310	141898728	chr6-141867315-INV-29159	0.5765168293021242	0.646625825018404	79266310	0.732699983242146	q
chr6	167209001	167357782	chr6-167181003-INV-209976	1.715450700568768	2.7074143018933796	104609001	0.9674455327463929	q
chr6	76109081	76158474	chr6-76111919-INV-44661	0.4829865757758265	0.6423085512309044	13509081	0.12507420685136078	q
chr7	143716562	143750998	chr7-143716563-INV-34437	0.6719877044944148	1.0253714941963352	81616562	0.8394566631566327	q
chr7	33990735	34010143	chr7-33990522-INV-19762	0.3241102593278869	1.1141153685723495	24089857	0.4147945094664372	p
chr7	54234014	54308393	chr7-54220528-INV-101153	0.06567766693296055	0.7977333710573902	3791607	0.06590012048192771	p
chr7	57641572	57838971	chr7-57641573-INV-197400	0.037227711841773196	0.3484400112711654	261029	0.006191549053356282	p
chr7	57835188	58119653	chr7-57835189-INV-284465	0.0037320822521439896	0.2524186704744551	0	0.0	acen
chr7	5989046	6735643	chr7-5989047-INV-746598	0.9797658992309121	2.023726985458171	51364357	0.8904932185886403	p
chr7	60911891	61578023	chr7-60911892-INV-666133	0.007530187243090077	0.003850578868579646	0	0.0	acen
chr7	65219157	65531823	chr7-65219158-INV-312667	0.15822258985660972	0.12461242291799124	3119157	0.03368252585636631	q
chr7	70961198	70973901	chr7-70955928-INV-18020	0.1450796347828588	1.2485176868910557	8861198	0.09118679906673359	q
chr7	73113989	74799029	chr7-73113990-INV-1685041	1.197331032536427	1.0792578069988679	11013989	0.12192287900703097	q
chr7	74869950	75058098	chr7-74799031-INV-480422	0.6634986690211262	1.6832493767889076	12769950	0.13228335943535677	q
chr7	97445822	97459601	chr7-97445827-INV-13775	3.069352803914502	1.0705144060665361	35345822	0.36353907426068943	q
chr8	2343351	2378385	chr8-2340295-INV-42058	0.4254698290263138	2.8469593300311136	40821615	0.9453502777777778	p
chr8	7301024	12598379	chr8-7301025-INV-5297356	1.7871353239553192	2.3824331201523563	30601621	0.7696828472222222	p
chr9	123979106	123991038	chr9-123976301-INV-18001	0.2992857600548404	1.0617322346502078	78479106	0.8448819753657251	q
chr9	87942696	88110274	chr9-87942698-INV-167577	0.6006353674674048	1.6939456682810032	42442696	0.4577922875850949	q
chrX	101602193	101611599	chrX-101597550-INV-18696	0.42154323442187197	0.8729140336816243	37802193	0.4098713049130757	q
chrX	103989434	104049428	chrX-103954976-INV-128112	0.21762426178853594	0.2532972573695744	40189434	0.43602602728431894	q
chrX	120087101	120149199	chrX-120080219-INV-75364	0.9326054326767264	1.8761540592430777	56287101	0.6105551122417014	q
chrX	135165183	135207322	chrX-135116507-INV-139642	0.04819109332884782	1.114365480287404	71365183	0.7739110944229238	q
chrX	135623647	135665679	chrX-135619381-INV-52316	0.4119202272414413	1.1366337087487182	71823647	0.7788808098620466	q
chrX	141110160	141232877	chrX-141110161-INV-122718	1.5227969724436823	3.444737796247793	77310160	0.8387984309996125	q
chrX	149599490	149655967	chrX-149599491-INV-56477	0.0	1.6379722983475489	85799490	0.9304737123376784	q
chrX	149681035	149722249	chrX-149654273-INV-94882	0.0	1.6380058818467944	85881035	0.9312750271991616	q
chrX	149747302	149768782	chrX-149747303-INV-21480	0.0	1.5470151615917587	85947302	0.9318864696618566	q
chrX	153149748	153250226	chrX-153067814-INV-226118	0.008107731514013432	1.3582828919188614	89349748	0.9692012095069112	q
chrX	154347246	154384867	chrX-154339398-INV-53354	0.21119434524464883	0.9150503303622628	90547246	0.981842771581954	q
chrX	154591327	154613096	chrX-154555919-INV-93915	0.4638647366603512	0.5856354863610136	90791327	0.9844029700709214	q
chrX	155386727	155453982	chrX-155366835-INV-100636	6.758412125482294e-05	0.24665573747157055	91586727	0.9932726043041972	q
chrX	51692963	51700363	chrX-51667498-INV-58316	0.15623653049403488	0.5196918756517945	6399637	0.11021234079173838	p
