chr_std	Start	End	sd_size_kbp	sd_identity_pct	nahr_score	consensus	sd_call_hard	p_recurrent_insample	p_recurrent_loo	sd_call_insample	sd_call_loo
1	13104252	13122521	60.0	95.0	1.7781512503836436	1.0	1	0.6309753310967448	0.6182205915374284	1	1.0
1	248128773	248428856	0.113	64.0	-4.046921556516581	0.0	0	0.07165188725955844	0.0733315483254315	0	0.0
1	25324280	25369060	62.906	92.0	1.498692070606126	0.0	0	0.6134092112855636	0.6391472261551288	1	1.0
1	81650508	81707447	0.613	68.0	-2.912539525481585	0.0	0	0.13484446662342936	0.13806239511523158	0	0.0
10	15742803	15760427	0.26	74.0	-2.6850266520291823	0.0	0	0.12220532205330549	0.12550649778284723	0	0.0
10	46983451	47468232	0.423	61.0	-3.7736596326249576	1.0	0	0.09986776561492149	0.07453643557605712	0	0.0
10	79542901	80217413	50.139	93.0	1.5001756678987677	0.0	0	0.60204579837479	0.6224511299131016	1	1.0
11	18249084	18265819	2.742	66.0	-2.461932549546506	0.0	0	0.1971313172680258	0.20737649398998417	0	0.0
11	50154999	50324102	41.723	95.0	1.6203755278610155	1.0	1	0.6014428270554367	0.5902743813213458	1	1.0
12	131312081	131644839	16.816	93.0	1.025722698684167	0.0	0	0.5095830669096315	0.5193276574644641	1	1.0
12	46896694	46915975	0.945	65.0	-3.024568191490737	0.0	0	0.1417345050015777	0.1462751989071561	0	0.0
12	75713180	75731794	0.212	81.0	-2.0736641390712487	0.0	0	0.13829137593866464	0.14465754747023518	0	0.0
13	53902573	54093373	1.25	72.0	-2.2030899869919436	0.0	0	0.18355609857151411	0.18765607881934146	0	0.0
13	64598737	64616218	0.323	74.0	-2.590797477668897	0.0	0	0.1304368354876387	0.13373733837205562	0	0.0
14	85872200	85889269	0.492	62.0	-3.6080348972326393	0.0	0	0.10751292804797999	0.1107004933087336	0	0.0
15	30618103	32153204	0.343	74.0	-2.5647058799572298	1.0	0	0.132797945786382	0.11152751218693378	0	0.0
15	84373375	84416696	34.216	99.0	1.9342292372487546	1.0	1	0.6141065985267135	0.6032544700266574	1	1.0
16	15384482	16276146	1.888	96.0	0.37600198996205014	0.0	0	0.3491844500387233	0.37394500675990866	0	0.0
16	16721273	18073542	0.37	66.0	-3.331798275933005	1.0	0	0.10977334755321308	0.08895781318577707	0	0.0
16	28471892	28637651	23.533	98.0	1.6716772948086616	1.0	1	0.5758033637901445	0.5646809928315419	1	1.0
16	75206214	75222748	1.578	98.0	0.4981069988734015	0.0	0	0.3489554979803391	0.382409689080465	0	0.0
17	45585159	46292045	22.408	99.0	1.750403095815512	0.0	1	0.5790947982013002	0.5956501026404035	1	1.0
2	130138212	131200602	17.67	96.0	1.3472365495067642	0.0	1	0.5365279334915244	0.5488104742289371	1	1.0
2	130138212	131530534	26.585	93.0	1.2246366646501974	0.0	0	0.5488021137726208	0.5613579985545469	1	1.0
2	45065588	45081777	6.048	90.0	0.2816117824931501	0.0	0	0.40027964713381403	0.4072551787252823	0	0.0
2	87995841	88180536	0.28	81.0	-1.9528419686577807	0.0	0	0.15009062707803114	0.1563274708901774	0	0.0
2	91832040	92012663	48.305	99.0	2.083992086445554	1.0	1	0.6418001105943317	0.6310908684893537	1	1.0
2	95800191	96024403	49.017	96.0	1.7903467274930636	1.0	1	0.6218047936726905	0.610505661112203	1	1.0
20	47841016	47888238	18.011	83.0	0.05553782622460335	0.0	0	0.4399427745972191	0.45596071873440963	0	0.0
21	13987773	14056796	12.46	88.0	0.3955180423231508	0.0	0	0.44610401186667553	0.4538993198115434	0	0.0
21	19877734	20070170	1.241	61.0	-3.30622821850127	0.0	0	0.1384057851192032	0.14495886498403235	0	0.0
21	43821742	43835116	0.25	61.0	-4.002059991327962	0.0	0	0.0847465310367606	0.08691720166472998	0	0.0
3	195749463	195980207	0.362	73.0	-2.6412914294668344	1.0	0	0.13144549246794	0.11107398582581746	0	0.0
5	112179911	112236600	0.32	82.0	-1.794850021680094	0.0	0	0.16007904104198187	0.1669191017264758	0	0.0
5	124425560	124546657	0.267	70.0	-3.0734887386354246	0.0	0	0.11067055399440684	0.1132844252135494	0	0.0
5	177946129	178003952	0.298	83.0	-1.725783735923745	0.0	0	0.1608659852180105	0.16855699978945038	0	0.0
6	141866310	141898728	0.685	77.0	-1.9643094285075744	0.0	0	0.1754338052785751	0.1792968753342189	0	0.0
6	167209001	167357782	23.912	89.0	0.7786159020312243	0.0	0	0.5095135047310921	0.5226972587984157	1	1.0
6	76109081	76158474	3.723	73.0	-1.629106963781608	0.0	0	0.25221822260452875	0.2606577414198461	0	0.0
7	33990735	34010143	0.285	67.0	-3.3451551399914896	0.0	0	0.10409993102541444	0.10651158505930447	0	0.0
7	54234014	54308393	15.912	97.0	1.401724770116379	0.0	1	0.5351099386711459	0.5487551143044681	1	1.0
7	57835188	58119653	0.0	0.0	-12.5	0.0	0	0.002175050825404927	0.0021891203644882904	0	0.0
7	5989046	6735643	60.042	98.0	2.0784551501684563	1.0	1	0.6519553557007425	0.6408224681139416	1	1.0
7	60911891	61578023	33.66	99.0	1.927114111639805	1.0	1	0.6127707009500366	0.6018948805603601	1	1.0
7	65219157	65531823	15.023	97.0	1.3767566672452582	1.0	1	0.5301887776835242	0.5180019249268043	1	1.0
7	70961198	70973901	0.345	67.0	-3.262180904926726	0.0	0	0.11038832181459686	0.11295280740678906	0	0.0
7	73113989	74799029	0.752	80.0	-1.6237821594083577	1.0	0	0.1939561961983216	0.17403875290776877	0	0.0
7	74869950	75058098	43.316	95.0	1.6366483450415867	1.0	1	0.6045272634344427	0.5932153415756453	1	1.0
7	97445822	97459601	0.322	74.0	-2.5921441283041693	0.0	0	0.13031594655387402	0.13361645929898136	0	0.0
8	2343351	2378385	55.884	99.0	2.147287483980356	1.0	1	0.6532376636807569	0.6424173532935183	1	1.0
8	7301024	12598379	1.043	86.0	-0.8817156915734692	1.0	0	0.24415772187797555	0.2185280617114369	0	0.0
9	87942696	88110274	29.935	98.0	1.7761792624817037	0.0	1	0.5958760581625498	0.6115243729800417	1	1.0
X	103989434	104049428	49.516	94.0	1.594745554265453	1.0	0	0.6082664126029046	0.5956821988053874	1	1.0
X	149599490	149655967	0.123	62.0	-4.210094888560602	1.0	0	0.06958404110106738	0.04947346164719199	0	0.0
X	149681035	149722249	28.365	98.0	1.752782787900721	1.0	1	0.5914073511531303	0.5807022575278168	1	1.0
X	153149748	153250226	42.88	99.0	2.0322547766847134	1.0	1	0.6323290326092781	0.6216412530087884	1	1.0
X	154347246	154384867	11.391	98.0	1.3565618518594598	1.0	1	0.5140135348825451	0.4982637427617942	1	0.0
X	154591327	154613096	35.738	99.0	1.9531302444967742	1.0	1	0.6176469660102883	0.606849599204096	1	1.0
X	155386727	155453982	50.58	98.0	2.0039788250083856	1.0	1	0.6384578190232829	0.627650648360281	1	1.0
X	52077120	52176974	36.406	99.0	1.9611729647521883	1.0	1	0.6191497012294291	0.6083721186225403	1	1.0
X	72997772	73077479	9.597	98.0	1.2821354948037695	1.0	0	0.49928498868282906	0.481599694960033	0	0.0
1	149843518	149850293	36.09	85.0	0.5573868820595071	0.0	0	0.5145632842013742	0.540958134046904	1	1.0
11	71571819	71576724	7.058	84.0	-0.25131834597604974	0.0	0	0.36977114624740054	0.3758218817104343	0	0.0
13	48199250	48206639	0.466	62.0	-3.6316140833099997	0.0	0	0.10573460940996911	0.10881377355615901	0	0.0
14	60606118	60611659	1.598	99.0	0.6035767749779726	0.0	0	0.3568714579981558	0.3944658298293113	0	0.0
15	23345459	28389868	1.336	81.0	-1.274193541860473	0.0	0	0.2320887896303615	0.23662979851273083	0	0.0
16	35946683	35952382	6.207	77.0	-1.007118254614603	0.0	0	0.3122295811937509	0.3218590493952807	0	0.0
2	87987171	111255403	0.343	81.0	-1.8647058799572294	0.0	0	0.1592115115667479	0.1653049642537054	0	0.0
20	24397726	24406144	0.154	66.0	-3.712479279163537	0.0	0	0.08359522674445777	0.0855748335575707	0	0.0
