chrom	start	end	recurrence_flag	recurrence_label	callable_basis	da_flank	da_middle	dxy_flank	dxy_middle	da_flank_snpcond	da_middle_snpcond	dxy_flank_snpcond	dxy_middle_snpcond	da_flank_minus_middle	dxy_flank_minus_middle	da_flank_minus_middle_snpcond	dxy_flank_minus_middle_snpcond
1	108310642	108383736	1	Recurrent	per_base	0.0	0.0	0.0	0.0	NA	NA	NA	NA	0.0	0.0	NA	NA
1	144376209	144600799	0	Single-event	per_base	0.0	0.0	0.0	0.0	NA	NA	NA	NA	0.0	0.0	NA	NA
10	46144703	46204851	0	Single-event	per_base	0.00024873329999999994	0.00020832785	0.0003957333	0.00048506650000000004	0.22612118181818183	0.10683479487179486	0.3597575454545454	0.2487520512820513	4.040544999999994e-05	-8.933320000000005e-05	0.11928638694638698	0.11100549417249411
10	46983451	47468232	1	Recurrent	per_base	-2.23685e-06	-2.7791700000000004e-05	4.73333e-05	0.0004974282	-0.0074561666666666665	-0.00829602985074627	0.15777766666666668	0.14848602985074627	2.5554850000000005e-05	-0.00045009490000000004	0.0008398631840796037	0.009291636815920407
10	79542901	80217413	0	Single-event	per_base	6.5277e-06	0.00016119295	4.80519e-05	0.00040844125	0.009325285714285715	0.05970109259259258	0.06864557142857143	0.15127453703703708	-0.00015466525	-0.00036038935	-0.05037580687830687	-0.08262896560846565
11	50154999	50324102	1	Recurrent	per_base	0.00023342935000000002	0.0001919479	0.0008173309999999999	0.0007546494	0.05557841666666667	0.04172780434782609	0.19460261904761905	0.16405421739130432	4.148145000000002e-05	6.268159999999997e-05	0.013850612318840584	0.030548401656314728
12	131312081	131644839	0	Single-event	per_base	0.00011356725000000001	0.00031345365000000005	0.0003472571	0.00092974635	0.05282197674418605	0.056991572727272725	0.16151493023255814	0.1690447909090909	-0.00019988640000000006	-0.0005824892499999999	-0.004169595983086673	-0.007529860676532746
15	30618103	32153204	1	Recurrent	per_base	9.064345e-05	0.0005578873	0.0004554169	0.0009558336499999999	0.02923982258064516	0.12127984782608695	0.14690867741935487	0.20778992391304346	-0.00046724384999999996	-0.0005004167499999999	-0.09204002524544179	-0.06088124649368859
15	84373375	84416696	1	Recurrent	per_base	0.0	0.0005004205	0.0	0.0019621419000000005	NA	0.04019441767068273	NA	0.1576017590361446	-0.0005004205	-0.0019621419000000005	NA	NA
16	14954790	15100859	1	Recurrent	per_base	0.00013144175000000003	0.0001556042	0.00028814589999999994	0.00029030155	0.041075546875	0.14819447619047624	0.09004559375000001	0.27647766666666673	-2.416244999999998e-05	-2.1556500000000545e-06	-0.10711892931547623	-0.18643207291666672
16	16721273	18073542	1	Recurrent	per_base	1.4903e-05	4.3706500000000006e-05	0.0003473333	0.0002567618	0.005229122807017544	0.0273165625	0.12187133333333333	0.16047612500000003	-2.8803500000000006e-05	9.057150000000002e-05	-0.022087439692982457	-0.038604791666666693
16	28471892	28637651	1	Recurrent	per_base	7.834170000000001e-05	0.0	0.00035865405000000004	0.0	0.03197620408163266	NA	0.1463894081632653	NA	7.834170000000001e-05	0.00035865405000000004	NA	NA
17	16823490	18384190	0	Single-event	per_base	6.17383e-05	-0.0001466867	0.00013717995	0.0005089758	0.04573207407407408	-0.03492540476190477	0.1016147777777778	0.1211847142857143	0.000208425	-0.00037179585000000003	0.08065747883597885	-0.019569936507936495
