chrom	start	end	recurrence_flag	recurrence_label	da_rho	da_p	da_bins_used	da_rho_per_base	da_p_per_base	da_bins_used_per_base	dxy_rho	dxy_p	dxy_bins_used	dxy_rho_per_base	dxy_p_per_base	dxy_bins_used_per_base	da_q	da_q_per_base	dxy_q	dxy_q_per_base
1	13104252	13122521	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
1	108310642	108383736	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
1	144376209	144600799	0	Single-event	NA	NA	2	NA	NA	2	NA	NA	2	NA	NA	2	NA	NA	NA	NA
1	149843518	149850293	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
10	46144703	46204851	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
10	46983451	47468232	1	Recurrent	0.5850755473327166	1.9513799969591883e-05	46	0.5850755473327166	1.9513799969591883e-05	46	-0.25155720012334254	0.09171300838478622	46	-0.25155720012334254	0.09171300838478622	46	0.0004293035993310214	0.0004293035993310214	0.2522107730581621	0.2522107730581621
10	55007431	55013434	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
10	79542901	80217413	0	Single-event	-0.059266111625038545	0.6956166445830796	46	-0.059266111625038545	0.6956166445830796	46	0.04557508479802652	0.7636014614035257	46	0.04557508479802652	0.7636014614035257	46	0.8878665256016939	0.8878665256016939	0.915522606635228	0.915522606635228
11	50154999	50324102	1	Recurrent	-0.013694190098047159	0.9314074800971646	42	-0.013694190098047159	0.9314074800971646	42	-0.06587796774977717	0.6785047205133715	42	-0.06587796774977717	0.6785047205133715	42	0.9314074800971646	0.9314074800971646	0.915522606635228	0.915522606635228
11	71571819	71576724	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
11	89920623	89923848	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
12	46896694	46915975	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
12	131312081	131644839	0	Single-event	0.17675870348139258	0.21946335817354692	50	0.17675870348139258	0.21946335817354692	50	0.1479471788715486	0.3052024577818458	50	0.1479471788715486	0.3052024577818458	50	0.48281938798180324	0.48281938798180324	0.6123096153622232	0.6123096153622232
13	48199250	48206639	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
13	52310302	52320954	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
14	60606118	60611659	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
15	30618103	32153204	1	Recurrent	0.19318127250900358	0.1789002137798843	50	0.19318127250900358	0.1789002137798843	50	0.06333733493397359	0.662130151953696	50	0.06333733493397359	0.662130151953696	50	0.4455384931842868	0.4455384931842868	0.915522606635228	0.915522606635228
15	84373375	84416696	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
16	14954790	15100859	1	Recurrent	0.13363216267814898	0.4440875709819473	35	0.13363216267814898	0.4440875709819473	35	0.18711484593837538	0.28178179527479674	35	0.18711484593837538	0.28178179527479674	35	0.6513284374401894	0.6513284374401894	0.6123096153622232	0.6123096153622232
16	16721273	18073542	1	Recurrent	0.35855942376950783	0.010560538585443764	50	0.35855942376950783	0.010560538585443764	50	-0.30564225690276114	0.03088899349901962	50	-0.30564225690276114	0.03088899349901962	50	0.0580829622199407	0.0580829622199407	0.1698894642446079	0.1698894642446079
16	28471892	28637651	1	Recurrent	0.2459677419354839	0.1822657472117537	31	0.2459677419354839	0.1822657472117537	31	0.1899193548387097	0.3061548076811116	31	0.1899193548387097	0.3061548076811116	31	0.4455384931842868	0.4455384931842868	0.6123096153622232	0.6123096153622232
16	35946683	35952382	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
16	75206214	75222748	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
17	16823490	18384190	0	Single-event	-0.5017424492524738	0.0007111432333357071	42	-0.5017424492524738	0.0007111432333357071	42	0.42167112961728664	0.005414533928001315	42	0.42167112961728664	0.005414533928001315	42	0.007822575566692778	0.007822575566692778	0.03970658213867631	0.03970658213867631
17	45585159	46292045	0	Single-event	0.328265306122449	0.021292575505823377	49	0.328265306122449	0.021292575505823377	49	0.12591836734693876	0.38862534994254416	49	0.12591836734693876	0.38862534994254416	49	0.07807277685468572	0.07807277685468572	0.7124798082279977	0.7124798082279977
2	45065588	45081777	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
2	91832040	92012663	1	Recurrent	0.4223459273018169	0.0038520654851748677	45	0.4223459273018169	0.0038520654851748677	45	-0.04835309617918313	0.7524432567890482	45	-0.04835309617918313	0.7524432567890482	45	0.0282484802246157	0.0282484802246157	0.915522606635228	0.915522606635228
2	95800191	96024403	1	Recurrent	-0.04839929777450049	0.7667938175650992	40	-0.04839929777450049	0.7667938175650992	40	-0.44377688355197453	0.004126361896725971	40	-0.44377688355197453	0.004126361896725971	40	0.8878665256016939	0.8878665256016939	0.03970658213867631	0.03970658213867631
2	130138212	131200602	0	Single-event	0.329171668667467	0.019585831440135835	50	0.329171668667467	0.019585831440135835	50	-0.27519807923169265	0.053081709045888784	50	-0.27519807923169265	0.053081709045888784	50	0.07807277685468572	0.07807277685468572	0.20134113914349064	0.20134113914349064
2	130138212	131530534	0	Single-event	0.3126530612244898	0.027062237809797725	50	0.3126530612244898	0.027062237809797725	50	0.26171096552478723	0.06637049693499682	50	0.26171096552478723	0.06637049693499682	50	0.08505274740222142	0.08505274740222142	0.20859299036713286	0.20859299036713286
21	13987773	14056796	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
3	195749463	195980207	1	Recurrent	0.0259994029460418	0.8607570458064748	48	0.0259994029460418	0.8607570458064748	48	-0.03907946157186278	0.7920001129531586	48	-0.03907946157186278	0.7920001129531586	48	0.901745476559164	0.901745476559164	0.915522606635228	0.915522606635228
4	33098066	33104924	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
6	76109081	76158474	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
6	123106049	123109821	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
6	141866310	141898728	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
6	167209001	167357782	0	Single-event	-0.14675201517306777	0.38609236223945853	37	-0.14675201517306777	0.38609236223945853	37	-0.12968231389284018	0.44427682637744426	37	-0.12968231389284018	0.44427682637744426	37	0.6513284374401894	0.6513284374401894	0.7190498074415979	0.7190498074415979
7	5989046	6735643	1	Recurrent	0.04326530612244897	0.7654484588848929	50	0.04326530612244897	0.7654484588848929	50	-0.44105642256902755	0.001346108057268453	50	-0.44105642256902755	0.001346108057268453	50	0.8878665256016939	0.8878665256016939	0.029614377259905966	0.029614377259905966
7	54234014	54308393	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
7	60911891	61578023	1	Recurrent	0.13110478899952582	0.4392530362867093	37	0.13110478899952582	0.4392530362867093	37	0.0045045045045045045	0.9788908394585113	37	0.0045045045045045045	0.9788908394585113	37	0.6513284374401894	0.6513284374401894	0.9788908394585113	0.9788908394585113
7	62290674	62363143	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
7	62408486	62456444	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
7	65219157	65531823	1	Recurrent	0.0322617946345976	0.8295521858099096	47	0.0322617946345976	0.8295521858099096	47	0.11100832562442184	0.4575771501901077	47	0.11100832562442184	0.4575771501901077	47	0.901745476559164	0.901745476559164	0.7190498074415979	0.7190498074415979
7	70961198	70973901	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
7	73113989	74799029	1	Recurrent	0.1713289344789549	0.5581145306855073	14	0.1713289344789549	0.5581145306855073	14	-0.04222482877358577	0.8860350042168246	14	-0.04222482877358577	0.8860350042168246	14	0.7674074796925725	0.7674074796925725	0.9282271472747685	0.9282271472747685
7	74869950	75058098	1	Recurrent	-0.15957204069071076	0.36734954954085874	34	-0.15957204069071076	0.36734954954085874	34	0.3322127178152508	0.05491121976640653	34	0.3322127178152508	0.05491121976640653	34	0.6513284374401894	0.6513284374401894	0.20134113914349064	0.20134113914349064
8	2343351	2378385	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
8	7301024	12598379	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
9	12004038	12074552	0	Single-event	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
x	52077120	52176974	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
x	72997772	73077479	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
x	103989434	104049428	1	Recurrent	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
