locus	n_ag_genes	n_sig_eqtl_genes	n_sig_geuvadis_genes	n_measured_sgenes	measured_expr_moves	max_gtex_absnes	ag_max_splice	ag_top_splice_gene	ag_top_splice_is_measured_sgene	orient_r
chr17:45585159-46292045	43	41	21	4	1	1.389	0.973	MAPT	True	-1.0
chr16:28471892-28637651	37	34	11	7	1	0.822	0.996	SGF29	True	-0.698
chr7:65219157-65531823	46	31	4	0	1	1.219	0.934	ZNF92		-0.803
chrX:154347246-154384867	39	29	0	1	1	0.59	1.0	EMD	False	-0.837
chr10:79542901-80217413	55	20	0	4	1	1.135	0.996	ANXA11	True	-1.0
chr10:46983451-47468232	34	21	0	0	1	1.501	0.918	GDF10		-0.638
chr16:14954790-15100859	32	18	2	3	1	1.093	0.977	NTAN1	True	0.96
chrX:154591327-154613096	14	16	0	0	1	0.749				-0.451
chr3:195749463-195980207	29	13	10	1	1	0.727	0.98	TNK2	True	-0.889
chr15:30618103-32153204	37	12	5	0	1	1.328	0.91	ENSG00000284906		-0.942
chr1:25324280-25369060	18	10	5	2	1	0.932	0.992	TMEM50A	False	-0.135
chr16:75206214-75222748	8	9	5	2	1	0.461	0.781	CTRB2	True	-0.382
chr8:7301024-12598379	42	11	15	0	1	0.404	0.613	PRR23D1		0.76
chr11:50154999-50324102	17	10	0	0	1	0.913				-0.637
chr21:13987773-14056796	27	9	4	0	1	0.82				-0.593
chr3:75454477-75455715	8	8	2	0	1	0.498				0.277
chrX:149681035-149722249	26	8	0	0	1	0.947	0.5	MAGEA11		0.49
chr14:60606118-60611659	5	7	3	0	1	0.344				0.336
chrX:152729753-152738707	14	5	0	2	1	0.521	0.656	MAGEA12	True	-0.423
chrX:153149748-153250226	21	7	0	0	1	1.093	0.49	MAGEA1		-0.461
chr5:179643529-179651253	11	5	2	1	1	0.634	0.543	C5orf60	True	-0.087
chr2:87987171-111255403	15	4	8	1	1	1.324	0.996	FABP1	False	-1.0
chrX:72997772-73077479	17	4	0	0	1	0.674	0.023	PABPC1L2B		-0.579
chr17:16823490-18384190	41	2	8	1	1	0.42	0.98	MPRIP	True	-1.0
chr7:5989046-6735643	42	1	3	2	1	0.293	0.996	KDELR2	False	-0.65
chr1:108310642-108383736	15	2	0	0	1	0.483				0.512
chr7:54234014-54308393	4	2	0	0	1	0.725				0.902
chr9:85797070-85801040	7	2	0	0	1	2.256				-0.57
chr9:87942696-88110274	28	1	2	1	1	0.328	0.949	CDK20	True	-0.491
chr11:18249084-18265819	12	1	2	0	1	0.326				-1.0
chr12:46896694-46915975	1	1	1	0	1	0.446				-1.0
chr1:13104252-13122521	12	1	0	0	1	0.224	0.103	HNRNPCL2		0.46
chr20:24397726-24406144	1	1	0	0	1	0.079				-0.202
chr10:15742803-15760427	2	0	0	0	0	0.0				-1.0
chr10:46144703-46204851	21	0	0	0	0	0.0				-0.907
chr11:71571819-71576724	14	0	1	0	1	0.0				-0.811
chr11:89920623-89923848	14	0	0	0	0	0.0	0.01	TRIM49D1		0.135
chr12:131312081-131644839	47	0	0	0	0	0.0				-0.811
chr12:75713180-75731794	4	0	4	0	1	0.0				-0.57
chr13:48199250-48206639	1	0	2	0	1	0.0				-0.487
chr13:52310302-52320954	4	0	0	0	0	0.0				-0.702
chr13:53902573-54093373	4	0	0	0	0	0.0				-1.0
chr14:85872200-85889269	1	0	0	0	0	0.0				-0.15
chr15:23295576-23318191	7	0	0	0	0	0.0				nan
chr15:23345459-28389868	23	0	0	0	0	0.0	0.443	GOLGA6L2		-1.0
chr15:84373375-84416696	39	0	0	0	0	0.0				0.733
chr16:15384482-16276146	17	0	0	0	0	0.0	0.98	BMERB1		-1.0
chr16:16721273-18073542	5	0	1	0	1	0.0				-0.834
chr16:35946683-35952382	2	0	0	0	0	0.0				-0.036
chr17:3082008-3221835	22	0	2	0	1	0.0	0.062	OR1D2		-1.0
chr17:45573556-45585158	16	0	0	0	0	0.0				nan
chr1:144376209-144600799	23	0	0	0	0	0.0	0.789	NBPF15		nan
chr1:149843518-149850293	19	0	4	0	1	0.0				0.215
chr1:248128773-248428856	65	0	0	0	0	0.0	0.124	OR2M3		-1.0
chr1:81650508-81707447	9	0	0	0	0	0.0	0.527	ADGRL2		-1.0
chr20:29257746-29419750	13	0	0	0	0	0.0				nan
chr20:47841016-47888238	17	0	1	0	1	0.0				-0.364
chr21:19877734-20070170	3	0	0	0	0	0.0				-1.0
chr21:43821742-43835116	8	0	4	0	1	0.0				-1.0
chr2:130138212-131200602	51	0	0	0	0	0.0	0.996	MZT2B		-0.703
chr2:130138212-131530534	51	0	0	0	0	0.0	0.996	MZT2B		-0.703
chr2:45065588-45081777	2	0	1	0	1	0.0				-0.694
chr2:87995841-88180536	12	0	0	0	0	0.0	0.992	FABP1		-0.703
chr2:91832040-92012663	19	0	1	0	1	0.0				-0.363
chr2:95800191-96024403	13	0	0	0	0	0.0	0.945	ANKRD36C		-0.62
chr4:33098066-33104924	1	0	0	0	0	0.0				-0.429
chr5:112179911-112236600	11	0	0	0	0	0.0	0.926	EPB41L4A		-1.0
chr5:124425560-124546657	10	0	1	0	1	0.0				-1.0
chr5:177946129-178003952	22	0	4	0	1	0.0	0.02	PROP1		-1.0
chr5:71009586-71093997	12	0	0	0	0	0.0	0.863	GTF2H2		nan
chr6:141866310-141898728	6	0	0	0	0	0.0				-1.0
chr6:167209001-167357782	19	0	1	0	1	0.0	0.652	UNC93A		-1.0
chr6:76109081-76158474	4	0	0	0	0	0.0				-1.0
chr7:33990735-34010143	1	0	0	0	0	0.0	0.234	BMPER		-0.57
chr7:57835188-58119653	24	0	0	0	0	0.0				-1.0
