chrom,start,end,inv_id,consensus,inv_AF,size_kbp,log_pi_ratio,log_pi_inv,log_pi_dir,hudson_fst,hudson_dxy,log_theta_ratio,log_seg_sites,inv_freq,n_hap0,n_hap1,matched,usable,recurrence_score,recurrence_call,low_confidence
chr1,13104252,13122521,chr1-13084312-INV-62181,1.0,0.31,18.27,-0.16827434106839548,-6.581333378214426,-6.41305903714603,0.110575,0.001701,0.47697485542323026,5.564520407322694,0.677419,20.0,42.0,True,True,0.9487247123422635,1,False
chr1,145160434,146154520,chr1-145160435-INV-994087,,0.98,994.087,0.7221347174331975,-7.55211229537265,-8.274247012805848,0.011222,0.000395,0.2496831065488218,7.122059881629142,0.02439,80.0,2.0,True,True,0.999996048530071,1,True
chr1,146298109,148672872,chr1-146298110-INV-2374764,,0.02,2374.764,-0.103835808175533,-7.233485419071448,-7.129649610895915,0.072024,0.000821,0.20880909236512246,8.846353043314327,0.97561,2.0,80.0,True,True,0.9999999989900328,1,True
chr1,248128773,248428856,chr1-248128774-INV-300084,0.0,0.01,300.084,,,-6.890898161915715,,,,7.377133712833954,0.012195,81.0,1.0,True,False,,,True
chr1,25324280,25369060,chr1-25338356-INV-24067,0.0,0.99,44.781,,,-10.126631103850338,,,,2.5649493574615367,0.012195,81.0,1.0,True,False,,,True
chr1,81650508,81707447,chr1-81642914-INV-66617,0.0,0.99,56.94,,,-7.393888290157756,,,,5.60947179518496,0.012195,81.0,1.0,True,False,,,True
chr10,15742803,15760427,chr10-15742645-INV-17942,0.0,0.01,17.625,,,-7.617031841471966,,,,4.290459441148391,0.012195,81.0,1.0,True,False,,,True
chr10,46983451,47468232,chr10-46983452-INV-484782,1.0,0.09,484.782,0.14701474296180955,-7.577185932924766,-7.724200675886576,-0.014432,0.00047,-0.08301321696582978,7.585788821732034,0.085366,75.0,7.0,True,True,0.9999978955091,1,False
chr10,79542901,80217413,chr10-79542902-INV-674513,0.0,0.97,674.513,-3.883940036685321,-11.250561200502737,-7.366621163817417,0.641219,0.000899,-4.078840375686135,7.802209316247118,0.0375,77.0,3.0,True,True,0.9971696495870446,1,True
chr11,18249084,18265819,chr11-18246600-INV-21672,0.0,0.99,16.736,,,-6.799798137477045,,,,4.5217885770490405,0.012195,81.0,1.0,True,False,,,True
chr11,50154999,50324102,chr11-50136371-INV-206505,1.0,0.4,169.104,-0.0016877641137198521,-7.432003923080268,-7.430316158966549,0.252091,0.000792,-0.31121256986197493,6.880384082186005,0.378049,51.0,31.0,True,True,0.9987643091442084,1,False
chr12,131312081,131644839,chr12-131312082-INV-332759,0.0,0.03,332.759,-1.1410040474423653,-8.01339218258721,-6.8723881351448455,0.34813,0.001048,-1.1620172370411816,7.552237287560802,0.036585,79.0,3.0,True,True,0.9996876693394593,1,True
chr12,131333943,131623807,chr12-131333944-INV-289865,,0.03,289.865,-1.15160481880862,-7.977780110798334,-6.826175291989714,0.344133,0.001088,-1.1743848471404401,7.461065514354283,0.036585,79.0,3.0,True,True,0.9994704859871446,1,True
chr12,46896694,46915975,chr12-46897663-INV-16289,0.0,0.06,19.282,-8.778017809698136,-16.11809565095832,-7.340077841260184,0.519842,0.000676,-9.136693831807884,4.48863636973214,0.060976,77.0,5.0,True,True,2.9905897682061287e-09,0,False
chr12,75713180,75731794,chr12-75713181-INV-18615,0.0,0.01,18.615,,,-7.443898710732418,,,,4.204692619390966,0.012195,81.0,1.0,True,False,,,True
chr13,52344010,52502256,chr13-52344011-INV-158247,,0.03,158.247,0.9155887311433252,-7.247432646552299,-8.163021377695623,-0.018783,0.000489,-0.09121600827166168,6.659293919683638,0.036585,79.0,3.0,True,True,0.9998140469997417,1,True
chr13,53902573,54093373,chr13-53902574-INV-190801,0.0,0.01,190.801,,,-7.296363270023878,,,,6.761572768804055,0.012195,81.0,1.0,True,False,,,True
chr13,64598737,64616218,chr13-64598738-INV-17482,0.0,0.01,17.482,,,-7.096497403579014,,,,4.465908118654584,0.012195,81.0,1.0,True,False,,,True
chr13,79823210,79839670,chr13-79822252-INV-17591,,0.07,16.461,-0.4502716209249038,-7.540748536722336,-7.0904769157974314,0.072081,0.000735,-0.14400269249181807,4.477336814478207,0.073171,76.0,6.0,True,True,0.0005644418562483216,0,False
chr14,85872200,85889269,chr14-85872201-INV-17070,0.0,0.01,17.07,,,-7.633425651247642,,,,4.110873864173311,0.012195,81.0,1.0,True,False,,,True
chr15,22701127,23213881,chr15-22701128-INV-512754,,0.99,512.755,,,-7.357172274619484,,,,7.466799475018602,0.012195,81.0,1.0,True,False,,,True
chr15,30618103,32153204,chr15-30618104-INV-1535102,1.0,0.11,1535.102,-0.7201566404674369,-7.966185778017415,-7.246029137549979,0.283881,0.00074,-0.9209311114306573,9.095153962167066,0.121951,72.0,10.0,True,True,0.9999999849749428,1,False
chr15,84373375,84416696,chr15-84373376-INV-43322,1.0,0.4399999999999999,43.322,-0.7851660792801974,-7.31722840848784,-6.532062329207643,0.257759,0.001428,-0.1707842723890901,5.783825182329737,0.536585,38.0,44.0,True,True,0.746672164751673,1,False
chr16,15384482,16276146,chr16-15384483-INV-891665,0.0,0.01,891.665,,,-7.475151254236522,,,,8.156223323194624,0.012195,81.0,1.0,True,False,,,True
chr16,16721273,18073542,chr16-16721274-INV-1352270,1.0,0.08,1352.27,-0.26924064454905805,-7.415253112655453,-7.146012468106395,0.119093,0.000789,-0.4421618620401141,9.05742226555147,0.085366,75.0,7.0,True,True,0.9999999965064876,1,False
chr16,21583511,22432381,chr16-21583512-INV-848871,,0.94,848.871,-0.012422519998557096,-8.334871634622283,-8.322449114623726,0.040669,0.000252,0.6103552191130239,7.572502985020384,0.939024,5.0,77.0,True,True,0.9999999634726404,1,False
chr16,21864964,22432381,chr16-21864965-INV-567418,,0.94,567.418,-0.09151510883577321,-8.334871634622283,-8.24335652578651,0.003305,0.000252,0.5215209128827386,7.277247726631484,0.939024,5.0,77.0,True,True,0.999999728121086,1,False
chr16,28471892,28637651,chr16-28471894-INV-165758,1.0,0.36,165.76,0.7991653746367423,-8.685611843041201,-9.484777217677943,0.319455,0.00018,0.31569510867945483,5.389071729816501,0.365854,52.0,30.0,True,True,0.9918134484318677,1,False
chr16,75206214,75222748,chr16-75204855-INV-19244,0.0,0.16,16.535,1.3497296920247255,-7.2293389031096,-8.579068595134325,0.141547,0.000532,1.0387412205780335,4.442651256490317,0.829268,14.0,68.0,True,True,0.2829715673461515,0,False
chr17,45585159,46292045,chr17-45585160-INV-706887,0.0,0.11,706.887,-0.6124582693098026,-8.955698153602603,-8.3432398842928,0.933071,0.002744,-1.3405483393316866,7.526717561352706,0.121951,72.0,10.0,True,True,0.9999999991513484,1,False
chr17,60035640,60110888,chr17-60019740-INV-107140,,0.09,75.249,-0.6542653930157378,-9.04482593349861,-8.390560540482872,0.19333,0.000214,-1.2733539499392952,5.049856007249537,0.097561,74.0,8.0,True,True,0.019399283978270402,0,False
chr19,47959660,50091195,chr19-47959661-INV-2131536,,0.02,2131.536,-0.1548830123389335,-7.443898710732418,-7.289015698393484,-0.046729,0.000605,-0.3794896217049037,9.237760967552175,0.02439,80.0,2.0,True,True,0.9999999995654312,1,True
chr2,108527821,109733036,chr2-108527822-INV-1205216,,0.02,1205.216,0.24308723228154516,-7.251655031432146,-7.494742263713692,0.032174,0.000653,-0.09927716945867558,8.617762246337932,0.02439,80.0,2.0,True,True,0.9999999915862002,1,True
chr2,130138212,131200602,chr2-130138213-INV-1062391,0.0,0.02,1062.391,-0.09400262381341672,-7.627246434881684,-7.533243811068267,0.041933,0.000533,-0.486297268731836,8.09559870137819,0.02439,80.0,2.0,True,True,0.9999993906465408,1,True
chr2,130138212,131530534,chr2-130138213-INV-1392323,0.0,0.02,1392.323,-0.09400262381341672,-7.627246434881684,-7.533243811068267,0.041933,0.000533,-0.486297268731836,8.09559870137819,0.02439,80.0,2.0,True,True,0.9999993906465408,1,True
chr2,45065588,45081777,chr2-45062769-INV-12977,0.0,0.97,16.19,-1.7346010553881064,-8.709565084063694,-6.974964028675587,0.614626,0.001427,-2.0741244004022157,4.700480365792417,0.036585,79.0,3.0,True,True,4.7547983292414e-05,0,True
chr2,87995841,88180536,chr2-87995842-INV-184695,0.0,0.99,184.696,,,-7.546414274258012,,,,6.455198563340122,0.012195,81.0,1.0,True,False,,,True
chr2,91832040,92012663,chr2-91832041-INV-180624,1.0,0.41,180.624,0.0673036818961066,-8.685611843041201,-8.752915524937308,0.029725,0.000169,-0.40734657620786996,6.490723534502507,0.414634,48.0,34.0,True,True,0.9999056186678856,1,False
chr2,95496989,95579796,chr2-95496991-INV-82806,,0.19,82.808,0.09763846956391586,-8.955698153602603,-9.053336623166517,-0.002117,0.000123,-0.3934889170614486,4.983606621708336,0.207317,65.0,17.0,True,True,0.8384407262003757,1,False
chr2,95800191,96024403,chr2-95800192-INV-224213,1.0,0.08,224.213,0.16430305129127634,-9.220390707829685,-9.38469375912096,0.018162,9.3e-05,-0.5151640253645889,5.365976015021851,0.060976,77.0,5.0,True,True,0.992781479479365,1,False
chr20,25846148,26009643,chr20-25846149-INV-163496,,0.83,163.496,-1.477463748258184,-8.709565084063694,-7.23210133580551,0.309036,0.000642,-0.8545508386922192,6.612041034833092,0.182927,67.0,15.0,True,True,0.9733367310309824,1,False
