locus	n_ag_genes	ag_top_splice_gene	ag_max_splice
chrX:154347246-154384867	39	EMD	1.0
chr10:79542901-80217413	55	ANXA11	0.996
chr16:28471892-28637651	37	SGF29	0.996
chr2:130138212-131200602	51	MZT2B	0.996
chr2:130138212-131530534	51	MZT2B	0.996
chr2:87987171-111255403	15	FABP1	0.996
chr7:5989046-6735643	42	KDELR2	0.996
chr1:25324280-25369060	18	TMEM50A	0.992
chr2:87995841-88180536	12	FABP1	0.992
chr7:74869950-75058098	20	RCC1L	0.984
chr16:15384482-16276146	17	BMERB1	0.98
chr17:16823490-18384190	41	MPRIP	0.98
chr3:195749463-195980207	29	TNK2	0.98
chr16:14954790-15100859	32	NTAN1	0.977
chr17:45585159-46292045	43	MAPT	0.973
chr7:73113989-74799029	39	NSUN5	0.973
chrX:149599490-149655967	24	TMEM185A	0.961
chr9:87942696-88110274	28	CDK20	0.949
chr2:95800191-96024403	13	ANKRD36C	0.945
chr7:65219157-65531823	46	ZNF92	0.934
chr5:112179911-112236600	11	EPB41L4A	0.926
chr10:46983451-47468232	34	GDF10	0.918
chr15:30618103-32153204	37	ENSG00000284906	0.91
chr5:71009586-71093997	12	GTF2H2	0.863
chr1:144376209-144600799	23	NBPF15	0.789
chr16:75206214-75222748	8	CTRB2	0.781
chrX:152729753-152738707	14	MAGEA12	0.656
chr6:167209001-167357782	19	UNC93A	0.652
chr8:7301024-12598379	42	PRR23D1	0.613
chr5:179643529-179651253	11	C5orf60	0.543
chr1:81650508-81707447	9	ADGRL2	0.527
chrX:149681035-149722249	26	MAGEA11	0.5
chrX:153149748-153250226	21	MAGEA1	0.49
chr15:23345459-28389868	23	GOLGA6L2	0.443
chrX:103989434-104049428	20	H2BW2	0.363
chr7:33990735-34010143	1	BMPER	0.234
chr1:248128773-248428856	65	OR2M3	0.124
chr1:13104252-13122521	12	HNRNPCL2	0.103
chr17:3082008-3221835	22	OR1D2	0.062
chrX:72997772-73077479	17	PABPC1L2B	0.023
chr5:177946129-178003952	22	PROP1	0.02
chr11:89920623-89923848	14	TRIM49D1	0.01
chr10:15742803-15760427	2		
chr10:46144703-46204851	21		
chr11:18249084-18265819	12		
chr11:50154999-50324102	17		
chr11:71571819-71576724	14		
chr12:131312081-131644839	47		
chr12:46896694-46915975	1		
chr12:75713180-75731794	4		
chr13:48199250-48206639	1		
chr13:52310302-52320954	4		
chr13:53902573-54093373	4		
chr14:60606118-60611659	5		
chr14:85872200-85889269	1		
chr15:23295576-23318191	7		
chr15:84373375-84416696	39		
chr16:16721273-18073542	5		
chr16:35946683-35952382	2		
chr17:45573556-45585158	16		
chr1:108310642-108383736	15		
chr1:149843518-149850293	19		
chr20:24397726-24406144	1		
chr20:29257746-29419750	13		
chr20:47841016-47888238	17		
chr21:13987773-14056796	27		
chr21:19877734-20070170	3		
chr21:43821742-43835116	8		
chr2:45065588-45081777	2		
chr2:91832040-92012663	19		
chr3:75454477-75455715	8		
chr4:33098066-33104924	1		
chr5:124425560-124546657	10		
chr6:141866310-141898728	6		
chr6:76109081-76158474	4		
chr7:54234014-54308393	4		
chr7:57835188-58119653	24		
chr7:62290674-62363143	1		
chr7:62408486-62456444	1		
chr7:97445822-97459601	1		
chr8:2343351-2378385	8		
chr9:12004038-12074552	3		
chr9:85797070-85801040	7		
chrX:154591327-154613096	14		
chrX:155386727-155453982	20		
chrX:52077120-52176974	18		
