Phenotype	N_Total	N_Cases	N_Controls	Beta	OR	P_Value	P_Valid	P_Source	OR_CI95	CI_Method	CI_Sided	CI_Label	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	Coef_Source	P_Value_Method	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	Skip_Reason	P_LRT_Overall	P_Value_lrt	P_Overall_Valid	P_Source_lrt	P_Method	Q_GLOBAL	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	CI_Label_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY	FINAL_INTERPRETATION
Acne	8688	434	8254	-0.276545855207504	0.7583988417980541	0.37228772709394903	True	lrt_mle	0.412,1.397	wald_mle	two		True	0.41166416644224	1.397179667619505	False	True	False	mle	mle	lrt_mle	8688	434	8254	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356		0.37228772709394903	0.37228772709394903	True	lrt_mle	lrt_mle	0.9680330620805497	False	True	wald_mle		0.412,1.397	0.41166416644224	1.397179667619505	
Other_skin_and_subcutaneous_disorders	8762	508	8254	-0.251860469103165	0.777353195290699	0.386715776931414	True	lrt_mle	0.438,1.379	wald_mle	two		True	0.438258397240509	1.378816684479959	False	True	False	mle	mle	lrt_mle	8762	508	8254	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356		0.386715776931414	0.386715776931414	True	lrt_mle	lrt_mle	0.9680330620805497	False	True	wald_mle		0.438,1.379	0.438258397240509	1.378816684479959	
Inflammation_of_the_eye	9375	666	8709	-0.18993729921749503	0.8270109865537421	0.453523360416392	True	lrt_mle	0.502,1.361	wald_mle	two		True	0.502408034365669	1.3613380461642741	False	True	False	mle	mle	lrt_mle	9375	666	8709	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356		0.453523360416392	0.453523360416392	True	lrt_mle	lrt_mle	0.9680330620805497	False	True	wald_mle		0.502,1.361	0.502408034365669	1.3613380461642741	
Hearing_impairment	9161	452	8709	0.10598716996487001	1.111807611884305	0.7323082893524521	True	lrt_mle	0.606,2.041	lrt_quadratic	two		True	0.6057348112998939	2.040688669008807	False	True	False	mle	mle	lrt_mle	9161	452	8709	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr8-7301025-INV-5297356		0.7323082893524521	0.7323082893524521	True	lrt_mle	lrt_mle	0.9859210717648742	False	True	lrt_quadratic		0.606,2.041	0.6057348112998939	2.040688669008807	
Abnormal_Papanicolaou_smear	9609	221	9388	-0.065405869706292	0.936687213252489	0.8803844042227441	True	lrt_mle	0.400,2.196	lrt_quadratic	two		True	0.3996005485878175	2.1956499773871023	False	True	False	mle	mle	lrt_mle	5999	219	5780	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr8-7301025-INV-5297356		0.8803844042227441	0.8803844042227441	True	lrt_mle	lrt_mle	0.9859210717648742	False	True	lrt_quadratic		0.400,2.196	0.3996005485878175	2.1956499773871023	
Epidermal_thickening	8587	333	8254	-0.018282350637050002	0.9818837577113061	0.9585343753269611	True	lrt_mle	0.493,1.956	lrt_quadratic	two		True	0.4928905276588588	1.956003736238467	False	True	False	mle	mle	lrt_mle	8587	333	8254	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr8-7301025-INV-5297356		0.9585343753269611	0.9585343753269611	True	lrt_mle	lrt_mle	0.9859210717648742	False	True	lrt_quadratic		0.493,1.956	0.4928905276588588	1.956003736238467	
Abnormal_cytological_findings_in_specimens_from_genital_organs	9695	307	9388	-0.031239637236718003	0.9692432784629581	0.9325998290564371	True	lrt_mle	0.470,1.999	lrt_quadratic	two		True	0.4699159510159163	1.9991501263463332	False	True	False	mle	mle	lrt_mle	6084	304	5780	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr8-7301025-INV-5297356		0.9325998290564371	0.9325998290564371	True	lrt_mle	lrt_mle	0.9859210717648742	False	True	lrt_quadratic		0.470,1.999	0.4699159510159163	1.9991501263463332	
Multinodular_goiter	8750	167	8583	-2.130052263391787	0.11883108317465901	8.397620106207889e-05	True	lrt_mle	0.039,0.359	wald_mle	two		True	0.039306898952458	0.35924549391550703	True	True	False	mle	mle	lrt_mle	8750	167	8583	firth_seeded_refit;firth_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356		8.397620106207889e-05	8.397620106207889e-05	True	lrt_mle	lrt_mle	0.0075578580955871	True	True	wald_mle		0.039,0.359	0.039306898952458	0.35924549391550703	unable to determine
Pure_hypercholesterolemia	9283	700	8583	-0.147494075428998	0.862867550426298	0.5650877025166691	True	lrt_mle	0.521,1.428	wald_mle	two		True	0.5214306199288941	1.427880107386506	False	True	False	mle	mle	lrt_mle	9283	700	8583	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356		0.5650877025166691	0.5650877025166691	True	lrt_mle	lrt_mle	0.9859210717648742	False	True	wald_mle		0.521,1.428	0.5214306199288941	1.427880107386506	
Benign_sarcoma_related_cancers	8689	410	8279	0.056515937401757005	1.058143478723579	0.861551755267957	True	lrt_mle	0.561,1.997	lrt_quadratic	two		True	0.5606650900956963	1.9970346671203099	False	True	False	mle	mle	lrt_mle	8689	410	8279	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr8-7301025-INV-5297356		0.861551755267957	0.861551755267957	True	lrt_mle	lrt_mle	0.9859210717648742	False	True	lrt_quadratic		0.561,1.997	0.5606650900956963	1.9970346671203099	
