Phenotype	N_Total	N_Cases	N_Controls	Beta	OR	P_Value	P_Valid	P_Source	OR_CI95	CI_Method	CI_Sided	CI_Label	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	Coef_Source	P_Value_Method	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Value_lrt	P_Overall_Valid	P_Source_lrt	P_Method	Q_GLOBAL	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	CI_Label_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY	FINAL_INTERPRETATION
Mild_cognitive_impairment	193977	3357	190620	-0.12583503346302102	0.8817602957284131	0.085595649067844	True	lrt_mle	0.764,1.018	wald_mle	two		True	0.7639138066776161	1.017786577918438	False	True	False	mle	mle	lrt_mle	193977	3357	190620	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356	0.085595649067844	0.085595649067844	True	lrt_mle	lrt_mle	0.295590308114288	False	True	wald_mle		0.764,1.018	0.7639138066776161	1.017786577918438	
Acne	169148	9907	159241	-0.006214288587512	0.9938049801692781	0.8864112797134951	True	lrt_mle	0.981,1.018	profile	two		True	0.9811966746464361	1.018131680934701	False	True	False	mle	mle	lrt_mle	169148	9907	159241	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr8-7301025-INV-5297356	0.8864112797134951	0.8864112797134951	True	lrt_mle	lrt_mle	0.9579750234484826	False	True	profile		0.981,1.018	0.9811966746464361	1.018131680934701	
Other_skin_and_subcutaneous_disorders	189175	29934	159241	0.027575842313989	1.02795957498374	0.301350207444793	True	lrt_mle	0.976,1.083	wald_mle	two		True	0.9755848447631431	1.083146067175021	False	True	False	mle	mle	lrt_mle	189175	29934	159241	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356	0.301350207444793	0.301350207444793	True	lrt_mle	lrt_mle	0.6050364630093131	False	True	wald_mle		0.976,1.083	0.9755848447631431	1.083146067175021	
Inflammation_of_the_eye	198166	21107	177059	-0.010518512444994	0.989536613656205	0.7295590763541041	True	lrt_mle	0.987,1.012	profile	two		True	0.9867063348082181	1.012276594499455	False	True	False	mle	mle	lrt_mle	198166	21107	177059	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr8-7301025-INV-5297356	0.7295590763541041	0.7295590763541041	True	lrt_mle	lrt_mle	0.8913009470552498	False	True	profile		0.987,1.012	0.9867063348082181	1.012276594499455	
Hearing_impairment	207412	30353	177059	-0.026092816549753	0.9742446593842041	0.33268796965608	True	lrt_mle	0.924,1.027	wald_mle	two		True	0.9241457717696101	1.027059458943526	False	True	False	mle	mle	lrt_mle	207412	30353	177059	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356	0.33268796965608	0.33268796965608	True	lrt_mle	lrt_mle	0.624392638702353	False	True	wald_mle		0.924,1.027	0.9241457717696101	1.027059458943526	
Abnormal_Papanicolaou_smear	218461	6564	211897	0.10322007490123	1.108735387059105	0.049814299615075004	True	lrt_mle	1.000,1.229	wald_mle	two		True	1.000077509381988	1.229198884071258	False	True	False	mle	mle	lrt_mle	218461	6564	211897	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356	0.049814299615075004	0.049814299615075004	True	lrt_mle	lrt_mle	0.20159224375475665	False	True	wald_mle		1.000,1.229	1.000077509381988	1.229198884071258	
Rosacea	167892	8651	159241	0.023615218465525	1.02389626570722	0.6107378747901401	True	lrt_mle	0.935,1.121	wald_mle	two		True	0.934900620210739	1.121363640440066	False	True	False	mle	mle	lrt_mle	167892	8651	159241	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356	0.6107378747901401	0.6107378747901401	True	lrt_mle	lrt_mle	0.8163670273825588	False	True	wald_mle		0.935,1.121	0.934900620210739	1.121363640440066	
Epidermal_thickening	174555	15314	159241	0.041908529343036	1.042799088870402	0.24192050108627003	True	lrt_mle	0.972,1.119	wald_mle	two		True	0.9721113673324131	1.118626914869821	False	True	False	mle	mle	lrt_mle	174555	15314	159241	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356	0.24192050108627003	0.24192050108627003	True	lrt_mle	lrt_mle	0.5544903520472915	False	True	wald_mle		0.972,1.119	0.9721113673324131	1.118626914869821	
Abnormal_cytological_findings_in_specimens_from_genital_organs	221336	9439	211897	0.08537150891667801	1.089121609937474	0.054157830021563005	True	lrt_mle	0.998,1.188	wald_mle	two		True	0.9984724667304431	1.18800059166081	False	True	False	mle	mle	lrt_mle	221336	9439	211897	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356	0.054157830021563005	0.054157830021563005	True	lrt_mle	lrt_mle	0.21049859582887157	False	True	wald_mle		0.998,1.188	0.9984724667304431	1.18800059166081	
Multinodular_goiter	174257	6591	167666	-0.26128247846505204	0.770063362572283	8.286881257175483e-07	True	lrt_mle	0.694,0.854	wald_mle	two		True	0.6940488188549341	0.8544032728914941	False	True	False	mle	mle	lrt_mle	174257	6591	167666	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr8-7301025-INV-5297356	8.286881257175483e-07	8.286881257175483e-07	True	lrt_mle	lrt_mle	7.154340818694834e-05	True	True	wald_mle		0.694,0.854	0.6940488188549341	0.8544032728914941	unable to determine
