Phenotype	N_Total	N_Cases	N_Controls	Beta	OR	P_Value	P_Valid	P_Source	OR_CI95	CI_Method	CI_Sided	CI_Label	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	Coef_Source	P_Value_Method	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Value_lrt	P_Overall_Valid	P_Source_lrt	P_Method	Q_GLOBAL	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	CI_Label_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY	FINAL_INTERPRETATION
Mild_cognitive_impairment	67590	685	66905	0.23361183468451302	1.263154084430598	0.203617293519908	True	lrt_mle	0.886,1.801	wald_mle	two		True	0.8858242209499251	1.801213156378459	False	True	False	mle	mle	lrt_mle	67590	685	66905	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.203617293519908	0.203617293519908	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	wald_mle		0.886,1.801	0.8858242209499251	1.801213156378459	
Acne	63749	2647	61102	-0.019354800248089003	0.9808313013113651	0.8413012781140501	True	lrt_mle	0.812,1.185	lrt_quadratic	two		True	0.8115484610544559	1.1854252552979636	False	True	False	mle	mle	lrt_mle	63749	2647	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.8413012781140501	0.8413012781140501	True	lrt_mle	lrt_mle	0.9697218514992803	False	True	lrt_quadratic		0.812,1.185	0.8115484610544559	1.1854252552979636	
Other_skin_and_subcutaneous_disorders	66053	4951	61102	-0.047227359722834004	0.9538705012017801	0.5166272082755641	True	lrt_mle	0.827,1.100	lrt_quadratic	two		True	0.8269995930289696	1.1002048135603677	False	True	False	mle	mle	lrt_mle	66053	4951	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.5166272082755641	0.5166272082755641	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.827,1.100	0.8269995930289696	1.1002048135603677	
Inflammation_of_the_eye	71216	6239	64977	-0.060270076301213005	0.9415102196460331	0.36246695379881305	True	lrt_mle	0.827,1.072	lrt_quadratic	two		True	0.8269723394269406	1.0719119025337573	False	True	False	mle	mle	lrt_mle	71216	6239	64977	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.36246695379881305	0.36246695379881305	True	lrt_mle	lrt_mle	0.9127042866512731	False	True	lrt_quadratic		0.827,1.072	0.8269723394269406	1.0719119025337573	
Hearing_impairment	69560	4583	64977	0.004237293895075001	1.004246283918156	0.9553924666954461	True	lrt_mle	0.866,1.165	lrt_quadratic	two		True	0.8656852696487473	1.1649852828992124	False	True	False	mle	mle	lrt_mle	69560	4583	64977	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.9553924666954461	0.9553924666954461	True	lrt_mle	lrt_mle	0.9703790151926295	False	True	lrt_quadratic		0.866,1.165	0.8656852696487473	1.1649852828992124	
Abnormal_Papanicolaou_smear	73429	2928	70501	-0.11192890771825101	0.8941078194059601	0.23534198782852503	True	lrt_mle	0.742,1.077	wald_mle	two		True	0.7423301774152701	1.076918084492298	False	True	False	mle	mle	lrt_mle	73429	2928	70501	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.23534198782852503	0.23534198782852503	True	lrt_mle	lrt_mle	0.9101667937253499	False	True	wald_mle		0.742,1.077	0.7423301774152701	1.076918084492298	
Rosacea	61398	296	61102	0.180314798022206	1.197594304106897	0.47635758276244905	True	lrt_mle	0.729,1.967	lrt_quadratic	two		True	0.7291122201992623	1.9670937854221062	False	True	False	mle	mle	lrt_mle	61398	296	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.47635758276244905	0.47635758276244905	True	lrt_mle	lrt_mle	0.9294457396991442	False	True	lrt_quadratic		0.729,1.967	0.7291122201992623	1.9670937854221062	
Epidermal_thickening	66181	5079	61102	-0.056876392931949	0.944710835086321	0.44524299128661504	True	lrt_mle	0.816,1.093	lrt_quadratic	two		True	0.8163537820225233	1.0932497424319785	False	True	False	mle	mle	lrt_mle	66181	5079	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.44524299128661504	0.44524299128661504	True	lrt_mle	lrt_mle	0.9224423393241438	False	True	lrt_quadratic		0.816,1.093	0.8163537820225233	1.0932497424319785	
Abnormal_cytological_findings_in_specimens_from_genital_organs	74446	3945	70501	-0.043146187451786	0.957771365677033	0.597487399101654	True	lrt_mle	0.816,1.124	lrt_quadratic	two		True	0.8160318398544243	1.124130143101397	False	True	False	mle	mle	lrt_mle	74446	3945	70501	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.597487399101654	0.597487399101654	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.816,1.124	0.8160318398544243	1.124130143101397	
Multinodular_goiter	60548	1966	58582	-0.08993136636001901	0.9139939138477851	0.443269354176868	True	lrt_mle	0.726,1.150	lrt_quadratic	two		True	0.7262700203700733	1.1502400637783743	False	True	False	mle	mle	lrt_mle	60548	1966	58582	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.443269354176868	0.443269354176868	True	lrt_mle	lrt_mle	0.9224423393241438	False	True	lrt_quadratic		0.726,1.150	0.7262700203700733	1.1502400637783743	
Pure_hypercholesterolemia	65387	6805	58582	0.027295531758971002	1.027671467446419	0.6767056507657501	True	lrt_mle	0.904,1.168	lrt_quadratic	two		True	0.9039247930603223	1.1683589753390007	False	True	False	mle	mle	lrt_mle	65387	6805	58582	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.6767056507657501	0.6767056507657501	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.904,1.168	0.9039247930603223	1.1683589753390007	
Benign_sarcoma_related_cancers	66484	4029	62455	0.012423558596591002	1.012501051581055	0.878035973862983	True	lrt_mle	0.864,1.187	lrt_quadratic	two		True	0.8639429742308686	1.186604220452626	False	True	False	mle	mle	lrt_mle	66484	4029	62455	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.878035973862983	0.878035973862983	True	lrt_mle	lrt_mle	0.9697218514992803	False	True	lrt_quadratic		0.864,1.187	0.8639429742308686	1.186604220452626	
Melanocytic_nevi	63655	1200	62455	0.13883846858404902	1.148938495351523	0.29367603929963504	True	lrt_mle	0.889,1.486	wald_mle	two		True	0.8886048895956851	1.4855417537723081	False	True	False	mle	mle	lrt_mle	63655	1200	62455	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.29367603929963504	0.29367603929963504	True	lrt_mle	lrt_mle	0.9101667937253499	False	True	wald_mle		0.889,1.486	0.8886048895956851	1.4855417537723081	
Migraine	72594	5689	66905	-0.07327258637262901	0.9293474680406231	0.28657139192902403	True	lrt_mle	0.812,1.064	wald_mle	two		True	0.811760740400529	1.063967094451215	False	True	False	mle	mle	lrt_mle	72594	5689	66905	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.28657139192902403	0.28657139192902403	True	lrt_mle	lrt_mle	0.9101667937253499	False	True	wald_mle		0.812,1.064	0.811760740400529	1.063967094451215	
Diastolic_heart_failure	74446	2684	71762	0.09388876852707101	1.098437558294216	0.34593612758969305	True	lrt_mle	0.904,1.335	lrt_quadratic	two		True	0.9036111098628872	1.335270290838324	False	True	False	mle	mle	lrt_mle	74446	2684	71762	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.34593612758969305	0.34593612758969305	True	lrt_mle	lrt_mle	0.9127042866512731	False	True	lrt_quadratic		0.904,1.335	0.9036111098628872	1.335270290838324	
Other_follicular_disorders	68035	6933	61102	-0.047623570844930005	0.953492641961125	0.44582787113534006	True	lrt_mle	0.844,1.078	lrt_quadratic	two		True	0.8436182955051152	1.0776772186165742	False	True	False	mle	mle	lrt_mle	68035	6933	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.44582787113534006	0.44582787113534006	True	lrt_mle	lrt_mle	0.9224423393241438	False	True	lrt_quadratic		0.844,1.078	0.8436182955051152	1.0776772186165742	
Uninodular_goiter_single_thyroid_nodule	61102	2520	58582	-0.014587889662224001	0.9855179980819401	0.8873931600147501	True	lrt_mle	0.805,1.206	lrt_quadratic	two		True	0.8053310218313113	1.2060205036369245	False	True	False	mle	mle	lrt_mle	61102	2520	58582	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.8873931600147501	0.8873931600147501	True	lrt_mle	lrt_mle	0.9697218514992803	False	True	lrt_quadratic		0.805,1.206	0.8053310218313113	1.2060205036369245	
Benign_neoplasm_of_the_skin	65465	3010	62455	-0.039402880012159004	0.9613633170504771	0.6608829345966091	True	lrt_mle	0.806,1.146	lrt_quadratic	two		True	0.8061834889908679	1.146413242135708	False	True	False	mle	mle	lrt_mle	65465	3010	62455	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.6608829345966091	0.6608829345966091	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.806,1.146	0.8061834889908679	1.146413242135708	
High_risk_human_papillomavirus_HPV_DNA_test_positive	71629	1128	70501	0.11450791613286201	1.121321517558944	0.429639669256116	True	lrt_mle	0.844,1.490	lrt_quadratic	two		True	0.843958996029648	1.4898377191971066	False	True	False	mle	mle	lrt_mle	40387	1100	39287	sex_restricted_to_0;sex_forced_restriction_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.429639669256116	0.429639669256116	True	lrt_mle	lrt_mle	0.9224423393241438	False	True	lrt_quadratic		0.844,1.490	0.843958996029648	1.4898377191971066	
Disorder_of_nervous_system	68931	2026	66905	0.050129455325421006	1.05140719782725	0.64815135540166	True	lrt_mle	0.848,1.304	lrt_quadratic	two		True	0.847742281534058	1.304001368956773	False	True	False	mle	mle	lrt_mle	68931	2026	66905	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.64815135540166	0.64815135540166	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.848,1.304	0.847742281534058	1.304001368956773	
Pain_in_shoulder	73549	12198	61351	-0.05758510009390801	0.944041548943469	0.254724040242404	True	lrt_mle	0.855,1.043	wald_mle	two		True	0.8547822906667931	1.042621560908067	False	True	False	mle	mle	lrt_mle	73549	12198	61351	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.254724040242404	0.254724040242404	True	lrt_mle	lrt_mle	0.9101667937253499	False	True	wald_mle		0.855,1.043	0.8547822906667931	1.042621560908067	
Flat_foot_pes_planus	63431	2080	61351	0.036784544918107	1.037469468686961	0.74273164992254	True	lrt_mle	0.833,1.292	lrt_quadratic	two		True	0.832883032912916	1.2923097913199348	False	True	False	mle	mle	lrt_mle	63431	2080	61351	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.74273164992254	0.74273164992254	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.833,1.292	0.832883032912916	1.2923097913199348	
Morbid_obesity	67801	9219	58582	0.23666329706829	1.2670144384712771	2.214384389481928e-05	True	lrt_mle	1.137,1.412	wald_mle	two		True	1.136971483951557	1.411931266486436	False	True	False	mle	mle	lrt_mle	67801	9219	58582	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	2.214384389481928e-05	2.214384389481928e-05	True	lrt_mle	lrt_mle	0.005735255568758193	True	True	wald_mle		1.137,1.412	1.136971483951557	1.411931266486436	unable to determine
